bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,0,3,0.0159024,7.4004977292,1.27658e-07,7.95777e-05,GAE,14,0.834,0
0.001,2500,1,0.1,0.5,20,3,0.0156613,12.50886853164,2.58907e-07,0.000235199,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,0.5,40,3,0.0158391,9.62544555516,1.34592e-07,0.000146453,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,2.0,0,3,0.016094,4.39417298706,2.44649e-09,3.19973e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,2.0,20,3,0.0160469,4.818894857466,3.04439e-08,8.7155e-06,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,2.0,40,3,0.0159065,6.72666735564,1.77638e-07,8.22473e-05,GAE,14,0.834,0
0.001,2500,1,0.1,4.0,0,3,0.0160946,4.398437660334,2.15778e-09,2.8052e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,4.0,20,3,0.0160762,4.410361950726,3.47344e-09,2.49398e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,4.0,40,3,0.0160706,4.581632668962,8.9065e-09,1.43301e-06,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,6.0,0,3,0.0161068,4.395414600798,2.05053e-09,3.03534e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,6.0,20,3,0.0161023,4.390892007762,2.17927e-09,3.30789e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,6.0,40,3,0.0161028,4.388510748564,2.33716e-09,6.37132e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,8.0,0,3,0.0161027,4.399859218092,1.01361e-09,2.89482e-09,Estable/Ruido,14,0.835,0
0.001,2500,1,0.1,8.0,20,3,0.0161038,4.397855841336,2.17083e-09,2.14732e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,8.0,40,3,0.0160438,4.766405186832,3.143e-08,4.4447e-06,Estable/Ruido,14,0.835,0
0.001,2500,1,0.1,10.0,0,3,0.016102,4.390268201826,2.31446e-09,2.94236e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,10.0,20,3,0.0160849,4.3738812997380005,2.83818e-08,3.29628e-08,Estable/Ruido,14,0.832,0
0.001,2500,1,0.1,10.0,40,3,0.0159671,4.39489276314,1.79801e-08,2.27903e-08,Estable/Ruido,14,0.836,0
0.001,2500,1,0.2,0.5,0,3,0.0155946,12.06992508552,3.33819e-07,0.000234353,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,0.5,20,3,0.0156623,12.5489960481,2.54498e-07,0.000237103,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,0.5,40,3,0.0154331,17.977247336759998,2.5992e-07,0.00029754,Estable/Ruido,14,0.834,4
0.001,2500,1,0.2,2.0,0,3,0.0160861,4.390658080536,3.03372e-09,2.14505e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,2.0,20,3,0.016085,4.445463030894,3.04946e-09,2.2075e-07,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,2.0,40,3,0.0160432,5.030473036182,3.34255e-08,1.65079e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,4.0,0,3,0.0160954,4.38319640184,2.35803e-09,2.88818e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,4.0,20,3,0.0160909,4.381133043744,2.639e-09,2.7935e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,4.0,40,3,0.0159103,6.30157959906,2.59422e-07,8.10887e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,6.0,0,3,0.0161048,4.38436603797,2.0816e-09,3.53443e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,6.0,20,3,0.0160947,4.366077727404,2.87977e-09,3.78712e-09,Estable/Ruido,14,0.832,0
0.001,2500,1,0.2,6.0,40,3,0.0158748,6.40696681344,4.40595e-07,9.70878e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,8.0,0,3,0.0160934,4.38292648581,3.25253e-09,2.21284e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,8.0,20,3,0.0160903,4.396596233196,4.21964e-09,2.22604e-09,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,8.0,40,3,0.016103,4.42947200565,2.33113e-09,6.96318e-08,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,10.0,0,3,0.0161056,4.38802489971,2.30667e-09,2.56506e-09,Estable/Ruido,14,0.834,0
