bet0_f,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,0.1,0.5,0,1,0.00624084,1.637916449514,1.06447e-08,8.55676e-09,BAE,4,0.752,0
0.001,0.1,0.5,20,1,0.00627129,1.657092483912,6.57383e-09,5.33523e-10,BAE,4,0.752,0
0.001,0.1,0.5,40,1,0.00622707,1.626669948264,9.81786e-09,1.08931e-08,BAE,4,0.752,0
0.001,0.1,2.0,0,1,0.0062411,1.63536124443,8.31625e-09,4.01896e-09,BAE,4,0.752,0
0.001,0.1,2.0,20,1,0.0062411,1.632440153172,9.0874e-09,4.01119e-09,BAE,4,0.752,0
0.001,0.1,2.0,40,1,0.00626086,1.649120963826,7.1085e-09,1.24508e-09,BAE,4,0.752,0
0.001,0.1,4.0,0,1,0.0062653,1.6395479419619998,7.75474e-09,2.71124e-09,BAE,4,0.752,0
0.001,0.1,4.0,20,1,0.00627837,1.649001001146,6.84137e-09,5.64933e-10,BAE,4,0.752,0
0.001,0.1,4.0,40,1,0.00618901,1.590393233832,1.08528e-08,2.63415e-08,BAE,4,0.752,1
0.001,0.1,6.0,0,1,0.00627767,1.632949994562,8.70027e-09,5.02661e-09,BAE,4,0.752,0
0.001,0.1,6.0,20,1,0.00635258,1.76926958598,1.94583e-07,7.47257e-07,BAE,4,0.752,0
0.001,0.1,6.0,40,1,0.00629601,1.640303706846,6.46093e-09,1.76947e-09,BAE,4,0.752,0
0.001,0.1,8.0,0,1,0.00651057,36.64661935578,1.59413e-07,0.00565776,Estable/Ruido,4,0.752,0
0.001,0.1,8.0,20,1,0.00785192,91.9316003778,3.41913e-07,0.00308734,Estable/Ruido,4,0.092,0
0.001,0.1,8.0,40,1,0.00626267,1.666473565488,1.26457e-08,4.91921e-08,BAE,4,0.752,0
0.001,0.1,10.0,0,1,0.00760238,69.8920568082,5.97439e-07,0.00470945,Estable/Ruido,4,0.061,0
0.001,0.1,10.0,20,1,0.0103368,107.6257179888,1.5672700000000001e-18,3.17889e-17,BAE,4,0.093,0
0.001,0.1,10.0,40,1,0.00631174,1.650818435748,4.75596e-07,6.41456e-07,BAE,4,0.752,0
0.001,0.2,0.5,0,1,0.00627803,1.673383415856,5.98313e-09,4.02362e-10,BAE,4,0.752,0
0.001,0.2,0.5,20,1,0.00610234,1.584449083038,1.40795e-08,1.17047e-07,Estable/Ruido,5,0.865,1
0.001,0.2,0.5,40,1,0.00626234,1.647333519894,7.44471e-09,1.58165e-09,BAE,4,0.752,0
0.001,0.2,2.0,0,1,0.0062603,1.654531280694,7.11347e-09,7.3116e-10,BAE,4,0.752,0
0.001,0.2,2.0,20,1,0.00597734,1.534988470074,2.64489e-08,3.42079e-07,Estable/Ruido,5,0.865,0
0.001,0.2,2.0,40,1,0.00618147,1.570347470004,1.46489e-08,1.8159e-08,BAE,4,0.752,1
0.001,0.2,4.0,0,1,0.00609093,1.492839582456,1.08509e-08,2.3312e-08,Estable/Ruido,5,0.865,0
0.001,0.2,4.0,20,1,0.0062513,1.646661728886,8.60216e-09,1.07493e-08,BAE,4,0.752,0
0.001,0.2,4.0,40,1,0.00626684,1.639727885982,7.66154e-09,2.65002e-09,BAE,4,0.752,0
0.001,0.2,6.0,0,1,0.00627751,1.641731262738,5.85515e-09,2.03217e-09,BAE,4,0.752,0
0.001,0.2,6.0,20,1,0.00627731,1.6419651899640002,6.83235e-09,4.02118e-09,BAE,4,0.752,0
0.001,0.2,6.0,40,1,0.00622236,1.602377505564,2.06071e-08,4.35663e-08,BAE,4,0.752,1
0.001,0.2,8.0,0,1,0.00602233,1.458452280234,1.09234e-08,1.05476e-08,Estable/Ruido,5,0.865,0
0.001,0.2,8.0,20,1,0.00629093,1.635733128738,8.38388e-09,4.32461e-09,BAE,4,0.752,0
0.001,0.2,8.0,40,1,0.00621034,1.614823633614,1.06026e-08,3.52684e-08,BAE,4,0.752,0
0.001,0.2,10.0,0,1,0.00627062,1.6468956561119998,7.4125e-09,8.91706e-09,BAE,4,0.752,0
0.001,0.2,10.0,20,1,0.00628269,1.6361769906539998,6.28299e-09,3.87161e-09,BAE,4,0.752,0
0.001,0.2,10.0,40,1,0.00610228,1.603313214468,2.28983e-08,2.57384e-07,Estable/Ruido,5,0.865,1
0.001,0.3,0.5,0,1,0.0062291,1.638282335688,1.11603e-08,1.44549e-08,BAE,4,0.752,0
0.001,0.3,0.5,20,1,0.00627154,1.663318547004,6.50671e-09,1.04194e-09,BAE,4,0.752,0
0.001,0.3,0.5,40,1,0.00625067,1.639655908374,7.65405e-09,3.81629e-09,BAE,4,0.752,0
0.001,0.3,2.0,0,1,0.00625255,1.650014685792,7.41509e-09,1.94519e-09,BAE,4,0.752,0
0.001,0.3,2.0,20,1,0.00625859,1.649210935836,7.51297e-09,1.04886e-09,BAE,4,0.752,0
0.001,0.3,2.0,40,1,0.00624334,1.637976430854,8.0964e-09,5.38975e-09,BAE,4,0.752,0
0.001,0.3,4.0,0,1,0.00614928,1.5564737860620002,9.08931e-09,2.62441e-08,Estable/Ruido,5,0.865,1
0.001,0.3,4.0,20,1,0.00620541,1.73861912124,2.45758e-08,1.87231e-07,BAE,4,0.752,0
0.001,0.3,4.0,40,1,0.00619421,1.611524659914,1.75942e-08,4.30455e-08,BAE,4,0.752,1
0.001,0.3,6.0,0,1,0.00625166,1.624168726386,1.35798e-08,1.25922e-08,BAE,4,0.752,0
0.001,0.3,6.0,20,1,0.00627941,1.6468596673079998,6.28323e-09,7.33083e-10,BAE,4,0.752,0
0.001,0.3,6.0,40,1,0.00628215,1.642810926858,7.65638e-09,3.30837e-09,BAE,4,0.752,0
0.001,0.3,8.0,0,1,0.00628299,1.64342873466,8.20256e-09,6.33183e-09,BAE,4,0.752,0
0.001,0.3,8.0,20,1,0.00630223,1.645929956538,6.41244e-09,8.10405e-10,BAE,4,0.752,0
0.001,0.3,8.0,40,1,0.00621023,1.615351469406,7.35106e-09,2.64619e-08,BAE,4,0.752,1
0.001,0.3,10.0,0,1,0.00615553,1.627191785922,2.18242e-08,1.6365e-07,BAE,4,0.752,1
0.001,0.3,10.0,20,1,0.00625494,1.620377905698,1.65203e-08,2.65572e-08,BAE,4,0.752,0
0.001,0.3,10.0,40,1,0.00630172,1.6356491548619998,5.4484e-09,1.36967e-09,BAE,4,0.752,0
0.001,0.4,0.5,0,1,0.0062453,1.644400432368,9.49261e-09,9.0657e-09,BAE,4,0.752,0
0.001,0.4,0.5,20,1,0.00625303,1.6585680248760002,7.51622e-09,8.62268e-09,BAE,4,0.752,0
0.001,0.4,0.5,40,1,0.00611269,1.739986695792,4.16473e-08,4.53278e-07,BAE,4,0.752,1
0.001,0.4,2.0,0,1,0.00625452,1.653409629636,7.96879e-09,1.35812e-09,BAE,4,0.752,0
0.001,0.4,2.0,20,1,0.00598843,1.504236037056,2.02428e-08,1.90603e-07,Estable/Ruido,5,0.865,0
0.001,0.4,2.0,40,1,0.00623683,1.65587486271,9.42802e-09,1.81817e-08,BAE,4,0.752,0
0.001,0.4,4.0,0,1,0.00625876,1.6464337997940002,7.9828e-09,1.26873e-09,BAE,4,0.752,0
0.001,0.4,4.0,20,1,0.0061535,1.565806882566,1.06635e-08,2.31674e-08,Estable/Ruido,5,0.865,1
0.001,0.4,4.0,40,1,0.00623007,1.629950927562,1.04822e-08,9.64411e-09,BAE,4,0.752,0
0.001,0.4,6.0,0,1,0.00625924,1.636896766734,9.22564e-09,3.1824e-09,BAE,4,0.752,0
0.001,0.4,6.0,20,1,0.00626322,1.646283846444,7.45477e-09,1.89306e-09,BAE,4,0.752,0
0.001,0.4,6.0,40,1,0.00626889,1.640681589288,8.92977e-09,2.36194e-09,BAE,4,0.752,0
0.001,0.4,8.0,0,1,0.00624637,1.619040321816,8.09725e-09,8.52225e-09,BAE,4,0.752,0
0.001,0.4,8.0,20,1,0.00627101,1.632926002026,6.51357e-09,2.8372e-09,BAE,4,0.752,0
0.001,0.4,8.0,40,1,0.00628813,1.643422736526,8.5945e-09,6.11745e-09,BAE,4,0.752,0
0.001,0.4,10.0,0,1,0.00628206,1.6321402464719998,8.92209e-09,5.77671e-09,BAE,4,0.752,0
0.001,0.4,10.0,20,1,0.00629096,1.643440730928,6.82185e-09,4.01808e-09,BAE,4,0.752,0
0.001,0.4,10.0,40,1,0.0062808,1.619112299424,6.69496e-09,5.43802e-09,BAE,4,0.752,0
0.001,0.6,0.5,0,1,0.00622184,1.621601525034,1.05553e-08,1.17763e-08,BAE,4,0.752,0
0.001,0.6,0.5,20,1,0.00626467,1.6523839487220002,6.40348e-09,1.46653e-09,BAE,4,0.752,0
0.001,0.6,0.5,40,1,0.00622962,1.623298996956,9.98719e-09,8.43988e-09,BAE,4,0.752,0
0.001,0.6,2.0,0,1,0.00626357,1.668344983296,7.50217e-09,4.03365e-10,BAE,4,0.752,0
0.001,0.6,2.0,20,1,0.00601654,1.482156905802,1.35384e-08,6.59377e-08,Estable/Ruido,5,0.865,0
0.001,0.6,2.0,40,1,0.0062588,1.6533496482960002,7.8782e-09,8.60022e-10,BAE,4,0.752,0
