       r	   dnnbi(m^-3)	    dne(m^-3)	    dni(m^-3)	     tbn(keV)	     ti(keV)	     te(keV)	   vzt_eq(m/s)	   vth_eq(m/s)	  vthermalep(m/s)	       etann(MKS)
  0.0000000E+00	  0.1945100E+19	  0.3278520E+20	  0.2490760E+20	  0.1039273E+06	  0.1999540E+04	  0.1689460E+04	  0.1065334E-01	  0.0000000E+00	  0.3155571E+07	  0.9999863E+00
  0.1000000E-02	  0.1945063E+19	  0.3278519E+20	  0.2490779E+20	  0.1039273E+06	  0.1999533E+04	  0.1689454E+04	  0.1065334E-01	  0.0000000E+00	  0.3155571E+07	  0.1000000E+01
  0.2000000E-02	  0.1945015E+19	  0.3278517E+20	  0.2490834E+20	  0.1039275E+06	  0.1999508E+04	  0.1689433E+04	  0.1065269E-01	  0.0000000E+00	  0.3155574E+07	  0.1000041E+01
  0.3000000E-02	  0.1944955E+19	  0.3278512E+20	  0.2490923E+20	  0.1039276E+06	  0.1999464E+04	  0.1689400E+04	  0.1065162E-01	  0.0000000E+00	  0.3155576E+07	  0.1000108E+01
  0.4000000E-02	  0.1944884E+19	  0.3278505E+20	  0.2491047E+20	  0.1039277E+06	  0.1999402E+04	  0.1689353E+04	  0.1065013E-01	  0.0000000E+00	  0.3155577E+07	  0.1000201E+01
  0.5000000E-02	  0.1944802E+19	  0.3278496E+20	  0.2491204E+20	  0.1039277E+06	  0.1999321E+04	  0.1689292E+04	  0.1064823E-01	  0.0000000E+00	  0.3155578E+07	  0.1000321E+01
  0.6000000E-02	  0.1944707E+19	  0.3278485E+20	  0.2491395E+20	  0.1039277E+06	  0.1999223E+04	  0.1689219E+04	  0.1064592E-01	  0.0000000E+00	  0.3155577E+07	  0.1000466E+01
  0.7000000E-02	  0.1944601E+19	  0.3278472E+20	  0.2491618E+20	  0.1039276E+06	  0.1999107E+04	  0.1689131E+04	  0.1064321E-01	  0.0000000E+00	  0.3155575E+07	  0.1000637E+01
  0.8000000E-02	  0.1944483E+19	  0.3278457E+20	  0.2491874E+20	  0.1039274E+06	  0.1998972E+04	  0.1689031E+04	  0.1064010E-01	  0.0000000E+00	  0.3155573E+07	  0.1000834E+01
  0.9000000E-02	  0.1944353E+19	  0.3278439E+20	  0.2492161E+20	  0.1039272E+06	  0.1998820E+04	  0.1688917E+04	  0.1063659E-01	  0.0000000E+00	  0.3155570E+07	  0.1001056E+01
  0.1000000E-01	  0.1944210E+19	  0.3278420E+20	  0.2492480E+20	  0.1039270E+06	  0.1998650E+04	  0.1688790E+04	  0.1063270E-01	  0.0000000E+00	  0.3155566E+07	  0.1001303E+01
  0.1100000E-01	  0.1944055E+19	  0.3278399E+20	  0.2492830E+20	  0.1039267E+06	  0.1998462E+04	  0.1688650E+04	  0.1062842E-01	  0.0000000E+00	  0.3155562E+07	  0.1001575E+01
  0.1200000E-01	  0.1943888E+19	  0.3278375E+20	  0.2493209E+20	  0.1039264E+06	  0.1998257E+04	  0.1688496E+04	  0.1062376E-01	  0.0000000E+00	  0.3155557E+07	  0.1001871E+01
  0.1300000E-01	  0.1943708E+19	  0.3278349E+20	  0.2493619E+20	  0.1039261E+06	  0.1998034E+04	  0.1688330E+04	  0.1061873E-01	  0.0000000E+00	  0.3155552E+07	  0.1002192E+01
  0.1400000E-01	  0.1943516E+19	  0.3278322E+20	  0.2494058E+20	  0.1039257E+06	  0.1997794E+04	  0.1688150E+04	  0.1061333E-01	  0.0000000E+00	  0.3155547E+07	  0.1002536E+01
