bet0_f,s,BEAM ION EFFECTIVE TEMP,variable_eigen,m,n,gam,om_r
0.0,1.0,10.0,psi,1,1,0.135791,0.006159
0.0,1.0,10.0,phi,1,1,0.135791,0.006159
0.0,1.0,10.0,pr,1,1,0.135791,0.006159
0.0,1.0,10.0,nfast,1,1,0.135791,0.006159
0.0,1.0,10.0,vfast,1,1,0.135791,0.006159
0.0,1.0,10.0,vth,1,1,0.135791,0.006159
0.0,1.0,10.0,psi,2,1,0.135791,0.006159
0.0,1.0,10.0,phi,2,1,0.135791,0.006159
0.0,1.0,10.0,pr,2,1,0.135791,0.006159
0.0,1.0,10.0,nfast,2,1,0.135791,0.006159
0.0,1.0,10.0,vfast,2,1,0.135791,0.006159
0.0,1.0,10.0,vth,2,1,0.135791,0.006159
0.0,1.0,10.0,psi,3,1,0.135791,0.006159
0.0,1.0,10.0,phi,3,1,0.135791,0.006159
0.0,1.0,10.0,pr,3,1,0.135791,0.006159
0.0,1.0,10.0,nfast,3,1,0.135791,0.006159
0.0,1.0,10.0,vfast,3,1,0.135791,0.006159
0.0,1.0,10.0,vth,3,1,0.135791,0.006159
0.0,1.0,10.0,psi,4,1,0.135791,0.006159
0.0,1.0,10.0,phi,4,1,0.135791,0.006159
0.0,1.0,10.0,pr,4,1,0.135791,0.006159
0.0,1.0,10.0,nfast,4,1,0.135791,0.006159
0.0,1.0,10.0,vfast,4,1,0.135791,0.006159
0.0,1.0,10.0,vth,4,1,0.135791,0.006159
0.1,5000000.0,10.0,psi,1,1,0.234848,0.0296322
0.1,5000000.0,10.0,phi,1,1,0.234848,0.0296322
0.1,5000000.0,10.0,pr,1,1,0.234848,0.0296322
0.1,5000000.0,10.0,nfast,1,1,0.234848,0.0296322
0.1,5000000.0,10.0,vfast,1,1,0.234848,0.0296322
0.1,5000000.0,10.0,vth,1,1,0.234848,0.0296322
0.1,5000000.0,10.0,psi,2,1,0.234848,0.0296322
0.1,5000000.0,10.0,phi,2,1,0.234848,0.0296322
0.1,5000000.0,10.0,pr,2,1,0.234848,0.0296322
0.1,5000000.0,10.0,nfast,2,1,0.234848,0.0296322
0.1,5000000.0,10.0,vfast,2,1,0.234848,0.0296322
0.1,5000000.0,10.0,vth,2,1,0.234848,0.0296322
0.1,5000000.0,10.0,psi,3,1,0.234848,0.0296322
0.1,5000000.0,10.0,phi,3,1,0.234848,0.0296322
0.1,5000000.0,10.0,pr,3,1,0.234848,0.0296322
0.1,5000000.0,10.0,nfast,3,1,0.234848,0.0296322
0.1,5000000.0,10.0,vfast,3,1,0.234848,0.0296322
0.1,5000000.0,10.0,vth,3,1,0.234848,0.0296322
0.1,5000000.0,10.0,psi,4,1,0.234848,0.0296322
0.1,5000000.0,10.0,phi,4,1,0.234848,0.0296322
0.1,5000000.0,10.0,pr,4,1,0.234848,0.0296322
0.1,5000000.0,10.0,nfast,4,1,0.234848,0.0296322
0.1,5000000.0,10.0,vfast,4,1,0.234848,0.0296322
0.1,5000000.0,10.0,vth,4,1,0.234848,0.0296322
0.3,5000000.0,10.0,psi,1,1,0.671636,0.0167392
0.3,5000000.0,10.0,phi,1,1,0.671636,0.0167392
0.3,5000000.0,10.0,pr,1,1,0.671636,0.0167392
0.3,5000000.0,10.0,nfast,1,1,0.671636,0.0167392
0.3,5000000.0,10.0,vfast,1,1,0.671636,0.0167392
0.3,5000000.0,10.0,vth,1,1,0.671636,0.0167392
0.3,5000000.0,10.0,psi,2,1,0.671636,0.0167392
0.3,5000000.0,10.0,phi,2,1,0.671636,0.0167392
0.3,5000000.0,10.0,pr,2,1,0.671636,0.0167392
0.3,5000000.0,10.0,nfast,2,1,0.671636,0.0167392
0.3,5000000.0,10.0,vfast,2,1,0.671636,0.0167392
0.3,5000000.0,10.0,vth,2,1,0.671636,0.0167392
0.3,5000000.0,10.0,psi,3,1,0.671636,0.0167392
0.3,5000000.0,10.0,phi,3,1,0.671636,0.0167392
0.3,5000000.0,10.0,pr,3,1,0.671636,0.0167392
0.3,5000000.0,10.0,nfast,3,1,0.671636,0.0167392
0.3,5000000.0,10.0,vfast,3,1,0.671636,0.0167392
0.3,5000000.0,10.0,vth,3,1,0.671636,0.0167392
0.3,5000000.0,10.0,psi,4,1,0.671636,0.0167392
0.3,5000000.0,10.0,phi,4,1,0.671636,0.0167392
0.3,5000000.0,10.0,pr,4,1,0.671636,0.0167392
0.3,5000000.0,10.0,nfast,4,1,0.671636,0.0167392
0.3,5000000.0,10.0,vfast,4,1,0.671636,0.0167392
0.3,5000000.0,10.0,vth,4,1,0.671636,0.0167392
0.0,5000000.0,10.0,psi,1,1,0.00419756,0.00670722
0.0,5000000.0,10.0,phi,1,1,0.0051211,0.00607216
0.0,5000000.0,10.0,pr,1,1,0.00468445,0.0062866
0.0,5000000.0,10.0,nfast,1,1,0.00443186,0.0052205
0.0,5000000.0,10.0,vfast,1,1,0.00456429,0.00549171
0.0,5000000.0,10.0,vth,1,1,0.00428552,0.0066041
0.0,5000000.0,10.0,psi,2,1,0.00444323,0.00603979
0.0,5000000.0,10.0,phi,2,1,0.00512096,0.00606621
0.0,5000000.0,10.0,pr,2,1,0.00470154,0.00619272
0.0,5000000.0,10.0,nfast,2,1,0.00451763,0.00593652
0.0,5000000.0,10.0,vfast,2,1,0.00440895,0.00558173
0.0,5000000.0,10.0,vth,2,1,0.00466861,0.0063165
0.0,5000000.0,10.0,psi,3,1,0.00432948,0.00623701
0.0,5000000.0,10.0,phi,3,1,0.00513091,0.00612468
0.0,5000000.0,10.0,pr,3,1,0.00467702,0.00613699
0.0,5000000.0,10.0,nfast,3,1,0.00475015,0.00606154
0.0,5000000.0,10.0,vfast,3,1,0.00420628,0.00462195
0.0,5000000.0,10.0,vth,3,1,0.00447706,0.00652133
0.0,5000000.0,10.0,psi,4,1,0.00444591,0.00603736
0.0,5000000.0,10.0,phi,4,1,0.00508755,0.00592405
0.0,5000000.0,10.0,pr,4,1,0.00444255,0.00489593
0.0,5000000.0,10.0,nfast,4,1,0.0045419,0.00555847
0.0,5000000.0,10.0,vfast,4,1,0.00417698,0.00453099
0.0,5000000.0,10.0,vth,4,1,0.00467445,0.00633279
0.0,5000000.0,10.0,psi,1,1,0.00292235,0.00579257
0.0,5000000.0,10.0,phi,1,1,0.00501473,0.00567195
0.0,5000000.0,10.0,pr,1,1,0.00459411,0.00630575
0.0,5000000.0,10.0,nfast,1,1,0.00425825,0.0035654
0.0,5000000.0,10.0,vfast,1,1,0.00430167,0.00397918
0.0,5000000.0,10.0,vth,1,1,0.00408252,0.00650171
0.0,5000000.0,10.0,psi,2,1,0.00438283,0.00601254
0.0,5000000.0,10.0,phi,2,1,0.00501466,0.00566778
0.0,5000000.0,10.0,pr,2,1,0.0046484,0.00621187
0.0,5000000.0,10.0,nfast,2,1,0.00442333,0.00562793
