r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.001,-0.0282538267,0.000248817344,1.01054031e-05,2.70079184e-05,-0.00262083458,6.21639384e-05,-3.6543352e-05,0.000147314134
0.002,-0.109084573,0.00148875285,-0.000128012842,-7.31774399e-05,-0.0129811388,0.00238322221,-8.89404617e-05,0.000390676227
0.003,-0.232845132,0.00374834619,-0.000599207025,-0.000389951759,-0.0363335725,0.00983095236,-0.000229861658,0.000700293441
0.004,-0.390415857,0.00642974352,-0.00175755863,-0.0010545055,-0.0765773846,0.0250605799,-0.000619071154,0.00101326921
0.005,-0.573501616,0.00840174594,-0.0040378477,-0.00222322015,-0.136463301,0.0504131906,-0.00148084945,0.00121080849
0.006,-0.774461399,0.00808502685,-0.00790277951,-0.00405432968,-0.217567599,0.0878037292,-0.00313670154,0.00111787086
0.007,-0.986400828,0.00356010338,-0.0138145693,-0.00668770361,-0.320509887,0.138678562,-0.00600980112,0.000493427152
0.008,-1.20314807,-0.00733047706,-0.0222050064,-0.0102271951,-0.445029027,0.203968247,-0.0106243972,-0.000960160974
0.009,-1.41930025,-0.0268781372,-0.0334510206,-0.0147222603,-0.590171634,0.284091401,-0.0176005085,-0.00359382218
0.01,-1.63020463,-0.0574123103,-0.0478523372,-0.0201567942,-0.754398997,0.378952716,-0.0276442584,-0.00779527179
0.011,-1.83196484,-0.101214517,-0.0656128695,-0.0264361059,-0.935753378,0.48797956,-0.0415359535,-0.0139773036
0.012,-2.02140372,-0.160440173,-0.0868250326,-0.0333838407,-1.13196324,0.610150483,-0.0601144492,-0.022558073
0.013,-2.1960355,-0.237057024,-0.11145723,-0.0407362298,-1.34058133,0.744051776,-0.0842602909,-0.033945087
0.014,-2.35400965,-0.332789354,-0.139344765,-0.0481470067,-1.55907171,0.8879239,-0.114876217,-0.0485159947
0.015,-2.49405885,-0.449081933,-0.170183803,-0.0551891987,-1.78491526,1.03972683,-0.152867264,-0.0666020091
0.016,-2.61543065,-0.587066949,-0.203529037,-0.0613666927,-2.01567107,1.19719411,-0.199119437,-0.088472194
0.017,-2.71782223,-0.747551284,-0.238794338,-0.0661225765,-2.24904867,1.35789811,-0.254478811,-0.114319338
0.018,-2.80130859,-0.931003782,-0.275257098,-0.0688552175,-2.48294225,1.51930385,-0.319730411,-0.14424975
0.019,-2.8662742,-1.1375617,-0.312065323,-0.0689313228,-2.7154722,1.67882772,-0.395578355,-0.178273661
0.02,-2.91334564,-1.36703442,-0.348248119,-0.0657040531,-2.94499475,1.83388565,-0.482626881,-0.216301498
