r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.001,-7.91887719e-07,9.789517e-07,1.27759366e-11,-2.54647402e-08,1.19628593e-06,-5.40337603e-07,4.59249458e-09,2.8625174e-08
0.002,-3.2117727e-06,7.14815876e-06,-6.14881017e-09,-9.13814722e-09,4.72310408e-06,-3.87920963e-06,4.49433121e-08,4.7269521e-08
0.003,-7.31705289e-06,2.34787326e-05,-3.8505831e-08,5.72879686e-09,1.05134209e-05,-1.20822095e-05,2.06169344e-07,5.81778693e-08
0.004,-1.31470148e-05,5.48530149e-05,-1.40006256e-07,-2.23908823e-09,1.84645456e-05,-2.62524257e-05,6.30616801e-07,9.55361194e-08
0.005,-2.07314943e-05,0.000106021773,-3.83183511e-07,-4.35435848e-08,2.84387748e-05,-4.64928184e-05,1.51676531e-06,1.88630359e-07
0.006,-3.00863111e-05,0.000181516176,-8.79023078e-07,-1.36426457e-07,4.02730237e-05,-7.19241013e-05,3.11592755e-06,3.64837716e-07
0.007,-4.12098397e-05,0.000285540063,-1.78568297e-06,-3.09455095e-07,5.3786795e-05,-0.000100748686,5.72736692e-06,6.52583242e-07
0.008,-5.40810799e-05,0.000421860948,-3.31677837e-06,-6.01463302e-07,6.87894803e-05,-0.000130342254,9.6912461e-06,1.07978692e-06
0.009,-6.86596018e-05,0.000593711944,-5.74883153e-06,-1.0614275e-06,8.50870601e-05,-0.000157362331,1.53794737e-05,1.67115346e-06
0.01,-8.48865472e-05,0.000803710433,-9.42761838e-06,-1.74806087e-06,0.000102488085,-0.000177867314,2.31847153e-05,2.44547783e-06
0.011,-0.0001026868,0.00105379595,-1.4773018e-05,-2.72895863e-06,0.000120808724,-0.0001874407,3.35078845e-05,3.41321172e-06
0.012,-0.000121971776,0.00134518781,-2.22821329e-05,-4.07929727e-06,0.000139876868,-0.000181316685,4.67444676e-05,4.57435872e-06
0.013,-0.000142642821,0.00167836184,-3.25304073e-05,-5.88015535e-06,0.000159535157,-0.000154503763,6.32700631e-05,5.9167385e-06
0.014,-0.00016459481,0.00205304509,-4.61706212e-05,-8.21653235e-06,0.000179643047,-0.000101903839,8.34255203e-05,7.41465299e-06
0.015,-0.000187719888,0.00246822668,-6.39296386e-05,-1.11751542e-05,0.000200077847,-1.8424621e-05,0.000107502086,9.02797011e-06
0.016,-0.000211911042,0.00292218311,-8.6602921e-05,-1.48421455e-05,0.000220734909,0.000100916248,0.00013572694,1.07016376e-05
