r,R  2/ 1,R  3/ 1,R  4/ 1,R  5/ 1,I  2/ 1,I  3/ 1,I  4/ 1,I  5/ 1
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
0.001,1.25457436e-06,-6.22303102e-07,-1.0031378e-09,3.22205156e-08,-3.93083136e-06,6.36363617e-07,3.53440669e-09,-2.17981296e-08
0.002,5.08017665e-06,-4.6935318e-06,-1.98128839e-09,7.84071546e-08,-1.57212568e-05,4.66152583e-06,4.41672787e-08,-1.96755856e-08
0.003,1.16401148e-05,-1.58483718e-05,-1.60372468e-09,1.26047441e-07,-3.52790724e-05,1.50532397e-05,2.17588225e-07,3.42372329e-08
0.004,2.11368559e-05,-3.79799002e-05,-4.31220992e-09,1.61522305e-07,-6.23918126e-05,3.40880254e-05,6.86014195e-07,1.99107116e-07
0.005,3.37838796e-05,-7.51936383e-05,-2.78201539e-08,1.65733114e-07,-9.67399896e-05,6.32003468e-05,1.68066607e-06,5.57577222e-07
0.006,4.97820657e-05,-0.000131701018,-1.12876195e-07,1.01656654e-07,-0.000137913829,0.000102931176,3.50235305e-06,1.21226871e-06
0.007,6.93016159e-05,-0.000211691146,-3.34255087e-07,-9.34427566e-08,-0.000185431808,0.000152931026,6.51958956e-06,2.28070846e-06
0.008,9.24694241e-05,-0.000319200869,-8.12244129e-07,-5.13325088e-07,-0.00023875987,0.000211999319,1.11640807e-05,3.88787642e-06
0.009,0.000119361475,-0.000457993374,-1.72404497e-06,-1.28618912e-06,-0.000297330715,0.000278148718,1.79236558e-05,6.15781819e-06
0.01,0.000149999652,-0.000631450716,-3.31455983e-06,-2.5761667e-06,-0.000360562109,0.000348686718,2.73327862e-05,9.20511959e-06
0.011,0.000184352401,-0.00084248301,-5.90610655e-06,-4.58294498e-06,-0.000427873697,0.000420308937,3.99609329e-05,1.31266505e-05
0.012,0.000222338547,-0.00109345542,-9.90663262e-06,-7.53967137e-06,-0.000498701669,0.000489199846,5.63989918e-05,1.79938556e-05
0.013,0.000263833639,-0.00138613315,-1.58160722e-05,-1.17093397e-05,-0.000572511044,0.000551137433,7.72441704e-05,2.38458165e-05
0.014,0.000308678102,-0.00172164383,-2.42305351e-05,-1.73798869e-05,-0.000648805267,0.000601598912,0.000103083655,3.06832638e-05
0.015,0.000356686608,-0.00210045651,-3.58441029e-05,-2.48582399e-05,-0.00072713312,0.000635864994,0.000134477464,3.84636839e-05
0.016,0.000407658014,-0.00252237589,-5.14480691e-05,-3.44635628e-05,-0.000807092927,0.00064912066,0.00017194091,4.70976199e-05
0.017,0.00046138538,-0.00298655032,-7.19275501e-05,-4.65199517e-05,-0.000888334243,0.000636550687,0.000215927099,5.64462329e-05
