r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-2.23930717e-11,-1.17962084e-13,2.93686584e-13,-5.5064779e-14,-2.06896617e-14,2.39745517e-14,3.2873111800000003e-15,-1.08069863e-14,-1.2572263500000002e-15,5.87290904e-15,5.60748219e-12,-4.45425019e-14,-4.92125437e-14,-1.05855168e-14,1.03795199e-14,6.105659740000001e-15,-2.16772448e-15,-1.0233183800000001e-15,5.14779516e-16,4.04171319e-16
0.002,-2.65132929e-10,-6.53697018e-12,3.69448476e-12,-9.59938556e-14,-1.59438108e-13,2.14117864e-13,2.71112822e-14,-7.43825656e-14,-6.758512020000001e-15,2.98603461e-14,6.54704881e-11,-1.20895189e-12,-6.46537644e-13,5.6156263e-14,2.00528001e-13,1.20679973e-13,-1.73769634e-14,-1.82524037e-14,3.1765610800000003e-15,-5.1520782e-15
0.003,-1.58611613e-09,-7.02419388e-11,2.0645067e-11,1.10689758e-12,-1.05314186e-12,1.09531105e-12,1.58926264e-13,-3.94995377e-13,-2.33508429e-14,1.47808498e-13,3.87379269e-10,-8.59521329e-12,-3.82466079e-12,1.55236129e-12,1.54293217e-12,8.68667538e-13,-1.14623466e-13,-2.57924471e-13,1.47782226e-14,6.09322468e-14
0.004,-6.47923622e-09,-4.00262399e-10,7.48646675e-11,9.16982343e-12,-5.44015103e-12,3.78063855e-12,9.01186935e-13,-1.48612722e-12,-1.17445906e-13,5.74115768e-13,1.57001946e-09,-2.91948835e-11,-1.12440859e-11,1.24851944e-11,7.19780888e-12,3.01427393e-12,-6.05323267e-13,-1.21796842e-12,7.77877511e-14,4.44924901e-13
0.005,-2.05661515e-08,-1.58920438e-09,2.01247366e-10,4.06474968e-11,-2.10401011e-11,9.77164664e-12,3.89033609e-12,-4.22469888e-12,-5.45797649e-13,1.71422786e-12,4.96729835e-09,-3.59645118e-11,-9.79695744e-12,6.04619074e-11,2.45002968e-11,6.07689835e-12,-2.41147806e-12,-3.47678279e-12,3.35977097e-13,1.56553055e-12
0.006,-5.45351453e-08,-4.98406e-09,4.19240126e-10,1.33146865e-10,-6.47572444e-11,2.00533655e-11,1.29655807e-11,-9.74473959e-12,-1.9569793e-12,4.19030001e-12,1.31915528e-08,1.49529857e-10,6.98827795e-11,2.16061452e-10,6.77890987e-11,5.45600336e-12,-7.63236073e-12,-7.0735658e-12,1.13928106e-12,3.87940595e-12
0.007,-1.26441746e-07,-1.32322754e-08,6.57595749e-10,3.59003178e-10,-1.67638665e-10,3.34060736e-11,3.55697944e-11,-1.90894704e-11,-5.6604623e-12,8.7724175e-12,3.07495987e-08,1.10690731e-09,4.42504119e-10,6.3106664e-10,1.62933511e-10,-1.1340649e-11,-2.03378914e-11,-1.05406031e-11,3.18996989e-12,7.66833037e-12
0.008,-2.64299666e-07,-3.10310634e-08,6.00731294e-10,8.42590115e-10,-3.79288086e-10,4.41324473e-11,8.44741146e-11,-3.26529045e-11,-1.3972135e-11,1.63161477e-11,6.47937521e-08,4.24625944e-09,1.63206095e-09,1.59935326e-09,3.54648533e-10,-6.87428502e-11,-4.7647373e-11,-9.56902204e-12,7.74642142e-12,1.2593419e-11
0.009,-5.08907931e-07,-6.61060726e-08,-5.76805368e-10,1.78139347e-09,-7.69756216e-10,3.94586026e-11,1.79799976e-10,-4.92984188e-11,-3.06320695e-11,2.74005781e-11,1.25963425e-07,1.24592891e-08,4.74415267e-09,3.65261957e-09,7.17900783e-10,-2.06614486e-10,-1.0114894e-10,4.39337973e-12,1.68824162e-11,1.73562635e-11
0.01,-9.16875996e-07,-1.30444107e-07,-4.62339386e-09,3.47076738e-09,-1.42620872e-09,-2.94938367e-12,3.51296301e-10,-6.54934352e-11,-6.1353564e-11,4.232673e-11,2.29289298e-07,3.10299121e-08,1.18855454e-08,7.70854364e-09,1.37513332e-09,-4.8263894e-10,-1.9876104e-10,4.5903751e-11,3.38521821e-11,1.89143432e-11
