r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,1.22115484e-12,-3.01352879e-13,-1.76706853e-12,-1.55929474e-13,3.28933849e-14,4.31954187e-14,1.42600771e-14,6.0291677000000005e-15,-1.01518908e-15,2.59526286e-16,-1.44838388e-12,-3.50267663e-14,1.75506916e-12,2.72443878e-14,-6.49888598e-14,1.80218592e-15,-1.16617467e-14,7.42869114e-16,5.36062139e-16,-1.26352081e-16
0.002,4.43031846e-11,-6.42508227e-13,-2.10756528e-11,-3.6834734e-12,-1.94823041e-12,-8.29110605e-14,6.52017288e-14,3.70809828e-15,-3.4290232900000004e-15,-5.28513082e-16,-5.35352596e-11,-1.99315853e-12,2.30419361e-11,1.28434495e-12,5.73771215e-13,-1.4868944e-13,-6.27066294e-14,8.32617314e-15,3.3719874100000003e-15,7.69613651e-16
0.003,4.29403036e-10,1.22306257e-11,-9.91851954e-11,-2.08822172e-11,-1.85786439e-11,-1.14274637e-12,4.32555301e-13,1.53162529e-14,1.05752717e-14,-6.49269401e-16,-5.18450004e-10,-2.9781186e-11,1.10256497e-10,1.21575924e-11,5.64913875e-12,-1.86103089e-12,-5.02060873e-13,5.22405841e-15,-1.36905957e-14,1.5690431500000002e-15
0.004,2.26406326e-09,1.13162416e-10,-3.06683082e-10,-7.29713693e-11,-8.56382956e-11,-5.33622736e-12,1.72544942e-12,7.61296619e-14,6.71112738e-14,1.3145372700000002e-15,-2.72683993e-09,-2.09239449e-10,3.31793055e-10,5.49569925e-11,2.95063134e-11,-9.81926305e-12,-2.12575347e-12,-7.28602537e-14,-8.24861757e-14,-1.67159241e-16
0.005,8.37567261e-09,5.58031166e-10,-7.48360629e-10,-1.98453875e-10,-2.71782323e-10,-1.76960627e-11,4.79681845e-12,2.45760495e-13,2.03980055e-13,8.39190709e-15,-1.00568494e-08,-9.6349544e-10,7.51892448e-10,1.71476471e-10,1.11726434e-10,-3.20439677e-11,-6.19531704e-12,-3.35683137e-13,-2.48372001e-13,-9.73160034e-15
0.006,2.45914454e-08,2.01039915e-09,-1.57404274e-09,-4.61492403e-10,-6.8358155e-10,-4.60878363e-11,1.07163107e-11,6.19389194e-13,4.71478796e-13,2.5240974e-14,-2.94228178e-08,-3.37953226e-09,1.36804254e-09,4.23393868e-10,3.35235873e-10,-7.87559759e-11,-1.45058398e-11,-9.6165249e-13,-5.75578254e-13,-3.62594691e-14
0.007,6.13879252e-08,5.91270563e-09,-2.99906006e-09,-9.65661221e-10,-1.47081114e-09,-1.0018182e-10,2.07457954e-11,1.33504553e-12,9.32052176e-13,5.83208737e-14,-7.31523072e-08,-9.79965574e-09,1.98617213e-09,8.80823593e-10,8.42834105e-10,-1.61925993e-10,-2.95648531e-11,-2.22122069e-12,-1.15339294e-12,-9.35843885e-14
0.008,1.35912253e-07,1.50405278e-08,-5.33833579e-09,-1.87793451e-09,-2.84252986e-09,-1.90522643e-10,3.62570593e-11,2.58399709e-12,1.65882383e-12,1.16168457e-13,-1.61224375e-07,-2.46887047e-08,2.00085076e-09,1.58934128e-09,1.84852828e-09,-2.96022508e-10,-5.48758446e-11,-4.50358423e-12,-2.1040435e-12,-2.01242042e-13
0.009,2.74377444e-07,3.42799094e-08,-9.05788354e-09,-3.46937614e-09,-5.10817588e-09,-3.28591653e-10,5.85586183e-11,4.62696574e-12,2.73262933e-12,2.09817602e-13,-3.23836396e-07,-5.58243145e-08,4.09428039e-11,2.50122679e-09,3.64075327e-09,-4.99708462e-10,-9.53152678e-11,-8.34970476e-12,-3.5925462e-12,-3.85731111e-13
0.01,5.14833674e-07,7.16694295e-08,-1.48467358e-08,-6.18089583e-09,-8.76266919e-09,-5.28675604e-10,8.8612165e-11,7.81899792e-12,4.23722223e-12,3.53337578e-13,-6.04261298e-07,-1.15853333e-07,-6.5652988e-09,3.35098364e-09,6.57231045e-09,-7.98101746e-10,-1.57602803e-10,-1.44934775e-11,-5.8387438e-12,-6.82127458e-13
0.011,9.10316996e-07,1.39750512e-07,-2.37108571e-08,-1.07245251e-08,-1.464232e-08,-8.12674283e-10,1.26621413e-10,1.26465285e-11,6.25233775e-12,5.64627644e-13,-1.06195186e-06,-2.24252594e-07,-2.25578067e-08,3.44852414e-09,1.10273564e-08,-1.22529368e-09,-2.50877679e-10,-2.3911916e-11,-9.13186137e-12,-1.13609133e-12
0.012,1.53237605e-06,2.57271404e-07,-3.70883622e-08,-1.82327566e-08,-2.41894875e-08,-1.21971319e-09,1.71471082e-10,1.97815662e-11,8.8444357e-12,8.66403566e-13,-1.77584371e-06,-4.09726711e-07,-5.58026956e-08,1.35582319e-09,1.73497645e-08,-1.82692762e-09,-3.87403642e-10,-3.78842864e-11,-1.38479613e-11,-1.80640855e-12
0.013,2.47497602e-06,4.51292225e-07,-5.69822864e-08,-3.04703927e-08,-3.98781758e-08,-1.82356664e-09,2.19985584e-10,3.01586614e-11,1.20548953e-11,1.28769945e-12,-2.84780396e-06,-7.13069305e-07,-1.18703559e-07,-5.59566241e-09,2.57097443e-08,-2.66271733e-09,-5.83430725e-10,-5.80592247e-11,-2.04709123e-11,-2.76793713e-12
0.014,3.85877752e-06,7.59740444e-07,-8.61031771e-08,-5.01248993e-08,-6.58698969e-08,-2.76245746e-09,2.65965472e-10,4.50817747e-11,1.58856491e-11,1.86580218e-12,-4.40616798e-06,-1.19050728e-06,-2.30033463e-07,-2.19989537e-08,3.58763618e-08,-3.80884126e-09,-8.60245166e-10,-8.65272604e-11,-2.96173131e-11,-4.11532478e-12
0.015,5.83578599e-06,1.23446803e-06,-1.28008858e-07,-8.11922849e-08,-1.08989119e-07,-4.28781999e-09,2.98945375e-10,6.63677851e-11,2.0282236e-11,2.6491128e-12,-6.60930284e-06,-1.91754019e-06,-4.17258852e-07,-5.53394109e-08,4.6852035e-08,-5.36022365e-09,-1.24543922e-09,-1.2589487e-10,-4.20662684e-11,-5.96704012e-12
0.016,8.59436452e-06,1.94486324e-06,-1.87222803e-07,-1.29475858e-07,-1.80130434e-07,-6.84116247e-09,3.02596281e-10,9.6534242e-11,2.51144189e-11,3.70095444e-12,-9.649132e-06,-2.99327873e-06,-7.19429628e-07,-1.17310315e-07,5.63106074e-08,-7.4328646e-09,-1.77443369e-09,-1.79352497e-10,-5.87942362e-11,-8.47048675e-12
0.017,1.23646005e-05,2.98207139e-06,-2.69305666e-07,-2.03214657e-07,-2.96235186e-07,-1.11713079e-08,2.52667262e-10,1.39036795e-10,3.01548443e-11,5.1048153e-12,-1.37545529e-05,-4.54527755e-06,-1.19071179e-06,-2.2556217e-07,5.97626854e-08,-1.01666622e-08,-2.49228351e-09,-2.50726996e-10,-8.10160717e-11,-1.18073483e-11
0.018,1.74240127e-05,4.4638804e-06,-3.80846583e-07,-3.13856719e-07,-4.83003592e-07,-1.85081094e-08,1.14323168e-10,1.98560867e-10,3.50558624e-11,6.97134131e-12,-1.91946761e-05,-6.73484858e-06,-1.90464021e-06,-4.05984748e-07,4.93499791e-08,-1.37296568e-08,-3.4557987e-09,-3.44501731e-10,-1.10231975e-10,-1.62002162e-11
0.019,2.41035811e-05,6.5403273e-06,-5.2933201e-07,-4.76989368e-07,-7.78539148e-07,-3.08132849e-08,-1.61317122e-10,2.81367571e-10,3.9325774e-11,9.4474307e-12,-2.62818116e-05,-9.76283087e-06,-2.9591691e-06,-6.95634679e-07,1.2143836e-08,-1.83253753e-08,-4.73600845e-09,-4.65784527e-10,-1.48281388e-10,-2.1919637e-11
0.02,3.27940795e-05,9.40008246e-06,-7.22839969e-07,-7.13434297e-07,-1.23815501e-06,-5.1134362e-08,-6.41702376e-10,3.95689141e-10,4.23042296e-11,1.27279352e-11,-3.53741284e-05,-1.38757831e-05,-4.48259668e-06,-1.14643586e-06,-7.2208636e-08,-2.42060731e-08,-6.42100174e-09,-6.2019179e-10,-1.97402879e-10,-2.92921442e-11
0.021,4.39526826e-05,1.32776679e-05,-9.69496908e-07,-1.05050892e-06,-1.94060674e-06,-8.40939095e-08,-1.41877992e-09,5.52161302e-10,4.31388214e-11,1.70706102e-11,-4.68779088e-05,-1.9372554e-05,-6.64043793e-06,-1.82979501e-06,-2.34685184e-07,-3.16962381e-08,-8.6191753e-09,-8.13611782e-10,-2.60300059e-10,-3.87095104e-11
0.022,5.81098187e-05,1.84615655e-05,-1.27662284e-06,-1.52344735e-06,-2.99605171e-06,-1.36553256e-07,-2.61678241e-09,7.64268676e-10,4.07617574e-11,2.2814007e-11,-6.12493224e-05,-2.66111751e-05,-9.64331579e-06,-2.84229042e-06,-5.2117451e-07,-4.12329298e-08,-1.14629333e-08,-1.05179322e-09,-3.40211972e-10,-5.06378181e-11
0.023,7.58762293e-05,2.53032682e-05,-1.64947792e-06,-2.17696369e-06,-4.55607107e-06,-2.1849782e-07,-4.4024565e-09,1.04876607e-09,3.38688715e-11,3.04007951e-11,-7.89956406e-05,-3.6016008e-05,-1.3755935e-05,-4.31260722e-06,-9.98137866e-07,-5.34323607e-08,-1.51128915e-08,-1.339695e-09,-4.40985422e-10,-6.56293419e-11
0.024,9.79501924e-05,3.42273254e-05,-2.089511e-06,-3.06692744e-06,-6.82612669e-06,-3.44199924e-07,-6.99845899e-09,1.42601708e-09,2.08986905e-11,4.04029405e-11,-0.000100675815,-4.8085067e-05,-1.93071955e-05,-6.40990887e-06,-1.75999568e-06,-6.91958277e-08,-1.97626669e-08,-1.68051338e-09,-5.67147213e-10,-8.43321147e-11
0.025,0.000125124862,4.57424318e-05,-2.59199703e-06,-4.26210525e-06,-1.00808597e-05,-5.33724566e-07,-1.07008382e-08,1.92016981e-09,1.21176191e-14,5.35560821e-11,-0.000126900344,-6.33974254e-05,-2.67014953e-05,-9.35385015e-06,-2.93865688e-06,-8.98728538e-08,-2.56443682e-08,-2.07428189e-09,-7.23968797e-10,-1.0750442e-10
0.026,0.000158295667,6.04535997e-05,-3.14293692e-06,-5.84590426e-06,-1.46826692e-05,-8.14853986e-07,-1.59017114e-08,2.55905621e-09,-3.09307334e-11,7.07923572e-11,-0.000158330358,-8.26206031e-05,-3.64312576e-05,-1.34264523e-05,-4.71568592e-06,-1.17505334e-07,-3.30349526e-08,-2.51592151e-09,-9.17520559e-10,-1.36024484e-10
0.027,0.000198467707,7.90754559e-05,-3.71507904e-06,-7.91803082e-06,-2.11040383e-05,-1.22551787e-06,-2.31184984e-08,3.37366298e-09,-7.44008353e-11,9.32877488e-11,-0.000195675851,-0.00010651782,-4.90907094e-05,-1.89860754e-05,-7.33768995e-06,-1.55183761e-07,-4.22637016e-08,-2.99258044e-09,-1.15470156e-09,-1.70906604e-10
