r,dnnbi(m^-3),dne(m^-3),dni(m^-3),tbn(keV),ti(keV),te(keV),vzt_eq(m/s),vth_eq(m/s),vthermalep(m/s),etann(MKS)
0.0,1.9451e+18,3.27852e+19,2.49076e+19,43927.71,1999.54,1689.46,0.01065334,0.0,2051551.0,0.9999863
0.001,1.945063e+18,3.278519e+19,2.490779e+19,43927.71,1999.533,1689.454,0.01065334,0.0,2051551.0,1.0
0.002,1.945015e+18,3.278517e+19,2.490834e+19,43927.94,1999.508,1689.433,0.01065269,0.0,2051557.0,1.000041
0.003,1.944955e+18,3.278512e+19,2.490923e+19,43928.09,1999.464,1689.4,0.01065162,0.0,2051560.0,1.000108
0.004,1.944884e+18,3.278505e+19,2.491047e+19,43928.17,1999.402,1689.353,0.01065013,0.0,2051562.0,1.000201
0.005,1.944802e+18,3.278496e+19,2.491204e+19,43928.19,1999.321,1689.292,0.01064823,0.0,2051563.0,1.000321
0.006,1.944707e+18,3.278485e+19,2.491395e+19,43928.14,1999.223,1689.219,0.01064592,0.0,2051561.0,1.000466
0.007,1.944601e+18,3.278472e+19,2.491618e+19,43928.03,1999.107,1689.131,0.01064321,0.0,2051559.0,1.000637
0.008,1.944483e+18,3.278457e+19,2.491874e+19,43927.87,1998.972,1689.031,0.0106401,0.0,2051555.0,1.000834
0.009,1.944353e+18,3.278439e+19,2.492161e+19,43927.66,1998.82,1688.917,0.01063659,0.0,2051550.0,1.001056
0.01,1.94421e+18,3.27842e+19,2.49248e+19,43927.4,1998.65,1688.79,0.0106327,0.0,2051544.0,1.001303
0.011,1.944055e+18,3.278399e+19,2.49283e+19,43927.1,1998.462,1688.65,0.01062842,0.0,2051537.0,1.001575
0.012,1.943888e+18,3.278375e+19,2.493209e+19,43926.76,1998.257,1688.496,0.01062376,0.0,2051529.0,1.001871
0.013,1.943708e+18,3.278349e+19,2.493619e+19,43926.39,1998.034,1688.33,0.01061873,0.0,2051521.0,1.002192
0.014,1.943516e+18,3.278322e+19,2.494058e+19,43925.99,1997.794,1688.15,0.01061333,0.0,2051511.0,1.002536
0.015,1.943312e+18,3.278292e+19,2.494526e+19,43925.56,1997.536,1687.958,0.01060757,0.0,2051501.0,1.002905
0.016,1.943094e+18,3.27826e+19,2.495022e+19,43925.1,1997.261,1687.752,0.01060144,0.0,2051491.0,1.003298
0.017,1.942865e+18,3.278225e+19,2.495546e+19,43924.63,1996.969,1687.533,0.01059496,0.0,2051479.0,1.003714
0.018,1.942622e+18,3.278189e+19,2.496097e+19,43924.13,1996.659,1687.302,0.01058813,0.0,2051468.0,1.004154
0.019,1.942368e+18,3.278151e+19,2.496675e+19,43923.62,1996.333,1687.057,0.01058096,0.0,2051456.0,1.004616
0.02,1.9421e+18,3.27811e+19,2.49728e+19,43923.1,1995.99,1686.8,0.01057344,0.0,2051444.0,1.005102
0.021,1.94182e+18,3.278067e+19,2.497911e+19,43922.57,1995.63,1686.53,0.01056559,0.0,2051431.0,1.005611
0.022,1.941526e+18,3.278022e+19,2.498566e+19,43922.04,1995.253,1686.247,0.01055741,0.0,2051419.0,1.006142
0.023,1.941219e+18,3.277975e+19,2.499247e+19,43921.52,1994.86,1685.951,0.01054891,0.0,2051407.0,1.006695
0.024,1.940898e+18,3.277926e+19,2.499952e+19,43921.02,1994.449,1685.643,0.01054008,0.0,2051395.0,1.00727
0.025,1.940562e+18,3.277875e+19,2.500682e+19,43920.54,1994.023,1685.322,0.01053094,0.0,2051384.0,1.007868
0.026,1.940212e+18,3.277822e+19,2.501434e+19,43920.09,1993.579,1684.988,0.01052149,0.0,2051374.0,1.008487
0.027,1.939846e+18,3.277767e+19,2.50221e+19,43919.68,1993.119,1684.642,0.01051173,0.0,2051364.0,1.009127
0.028,1.939464e+18,3.27771e+19,2.503008e+19,43919.33,1992.642,1684.284,0.01050167,0.0,2051356.0,1.009789
0.029,1.939065e+18,3.277651e+19,2.503828e+19,43919.03,1992.149,1683.913,0.01049132,0.0,2051349.0,1.010472
0.03,1.93865e+18,3.27759e+19,2.50467e+19,43918.8,1991.64,1683.53,0.01048067,0.0,2051343.0,1.011175
0.031,1.938218e+18,3.277527e+19,2.505533e+19,43918.64,1991.114,1683.135,0.01046974,0.0,2051340.0,1.011899
0.032,1.937769e+18,3.277463e+19,2.506416e+19,43918.55,1990.572,1682.727,0.01045853,0.0,2051338.0,1.012644
0.033,1.937304e+18,3.277397e+19,2.50732e+19,43918.53,1990.013,1682.307,0.01044705,0.0,2051337.0,1.013409
0.034,1.936824e+18,3.277328e+19,2.508242e+19,43918.56,1989.439,1681.875,0.01043529,0.0,2051338.0,1.014194
0.035,1.93633e+18,3.277257e+19,2.509184e+19,43918.66,1988.848,1681.431,0.01042326,0.0,2051340.0,1.014998
0.036,1.935823e+18,3.277185e+19,2.510145e+19,43918.8,1988.24,1680.975,0.01041098,0.0,2051343.0,1.015823
0.037,1.935302e+18,3.27711e+19,2.511123e+19,43918.99,1987.617,1680.506,0.01039844,0.0,2051348.0,1.016667
0.038,1.934769e+18,3.277032e+19,2.512119e+19,43919.23,1986.977,1680.026,0.01038564,0.0,2051353.0,1.01753
0.039,1.934225e+18,3.276952e+19,2.513131e+19,43919.5,1986.322,1679.534,0.01037261,0.0,2051360.0,1.018412
0.04,1.93367e+18,3.27687e+19,2.51416e+19,43919.8,1985.65,1679.03,0.01035932,0.0,2051367.0,1.019314
0.041,1.933105e+18,3.276785e+19,2.515205e+19,43920.13,1984.962,1678.514,0.01034581,0.0,2051374.0,1.020234
0.042,1.932533e+18,3.276698e+19,2.516265e+19,43920.47,1984.259,1677.986,0.01033206,0.0,2051382.0,1.021173
0.043,1.931955e+18,3.276608e+19,2.517339e+19,43920.79,1983.539,1677.447,0.01031808,0.0,2051390.0,1.02213
0.044,1.931373e+18,3.276516e+19,2.518427e+19,43921.07,1982.804,1676.895,0.01030388,0.0,2051396.0,1.023104
0.045,1.930789e+18,3.276422e+19,2.519528e+19,43921.3,1982.053,1676.332,0.01028947,0.0,2051402.0,1.024097
0.046,1.930206e+18,3.276326e+19,2.520641e+19,43921.44,1981.287,1675.757,0.01027484,0.0,2051405.0,1.025107
0.047,1.929625e+18,3.276227e+19,2.521765e+19,43921.49,1980.506,1675.17,0.01026001,0.0,2051406.0,1.026134
0.048,1.929049e+18,3.276127e+19,2.5229e+19,43921.41,1979.709,1674.572,0.01024497,0.0,2051404.0,1.027178
0.049,1.92848e+18,3.276024e+19,2.524046e+19,43921.19,1978.897,1673.962,0.01022973,0.0,2051399.0,1.028238
0.05,1.92792e+18,3.27592e+19,2.5252e+19,43920.8,1978.07,1673.34,0.01021431,0.0,2051390.0,1.029314
0.051,1.92737e+18,3.275814e+19,2.526363e+19,43920.23,1977.228,1672.707,0.01019869,0.0,2051377.0,1.030407
0.052,1.926828e+18,3.275706e+19,2.527534e+19,43919.51,1976.372,1672.061,0.01018289,0.0,2051360.0,1.031515
0.053,1.926291e+18,3.275597e+19,2.528714e+19,43918.68,1975.5,1671.405,0.01016692,0.0,2051341.0,1.032639
0.054,1.925757e+18,3.275485e+19,2.529901e+19,43917.76,1974.613,1670.737,0.01015077,0.0,2051319.0,1.033779
0.055,1.925223e+18,3.275371e+19,2.531096e+19,43916.8,1973.712,1670.057,0.01013446,0.0,2051297.0,1.034935
0.056,1.924685e+18,3.275256e+19,2.532299e+19,43915.83,1972.795,1669.366,0.01011798,0.0,2051274.0,1.036106
0.057,1.924142e+18,3.275138e+19,2.533509e+19,43914.89,1971.864,1668.664,0.01010134,0.0,2051252.0,1.037293
0.058,1.92359e+18,3.275017e+19,2.534726e+19,43914.02,1970.918,1667.95,0.01008455,0.0,2051232.0,1.038495
0.059,1.923027e+18,3.274895e+19,2.535949e+19,43913.24,1969.956,1667.226,0.01006761,0.0,2051214.0,1.039713
