r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-1.25149344e-08,-5.04339061e-10,-6.9518977e-09,-2.23337248e-11,5.20729847e-09,1.11716402e-11,-3.64188499e-09,-9.25430489e-09,-7.48946967e-10,3.2377256e-09,1.49820528e-10,-1.4690449e-09,-3.4069647e-11,8.54813323e-10
0.002,-1.83423503e-07,-7.43361893e-09,4.32848304e-09,-6.07884378e-12,5.19856964e-09,3.21074466e-11,-5.23219204e-09,-3.03045052e-08,-8.13652126e-09,1.00978467e-08,1.03839031e-09,-4.20747618e-09,-2.00714274e-10,2.29164101e-09
0.003,-6.72364934e-07,-4.05189715e-08,4.91602313e-08,2.76770434e-10,-4.77890609e-09,4.23662331e-11,-2.83977687e-09,-6.28450538e-08,-3.86950576e-08,2.0398312e-08,3.92605913e-09,-8.60974542e-09,-6.88591345e-10,4.63413889e-09
0.004,-1.6567636e-06,-1.41911884e-07,1.3923106e-07,1.21809301e-09,-2.88265257e-08,3.11102083e-11,5.32535507e-09,-1.08656576e-07,-1.2190191e-07,3.13043247e-08,1.08534794e-08,-1.3935609e-08,-1.81430948e-09,7.84211075e-09
0.005,-3.3502628e-06,-3.84769669e-07,2.82774466e-07,3.52504482e-09,-7.03016534e-08,-2.35225665e-11,2.08658177e-08,-1.81718714e-07,-3.01238922e-07,4.12791777e-08,2.45571395e-08,-1.86419854e-08,-4.02994463e-09,1.14757265e-08
0.006,-6.01312249e-06,-8.80824825e-07,4.85114939e-07,8.34912165e-09,-1.31863078e-07,-1.82641683e-10,4.5192688e-08,-3.02092206e-07,-6.35327171e-07,5.35536921e-08,4.83276071e-08,-2.10732077e-08,-7.9253593e-09,1.48914078e-08
0.007,-9.9585229e-06,-1.78740349e-06,7.49007252e-07,1.73857402e-08,-2.15545746e-07,-5.57407496e-10,7.95324661e-08,-4.89557996e-07,-1.19907341e-06,7.81672993e-08,8.58317241e-08,-1.97517276e-08,-1.42322033e-08,1.74301741e-08
0.008,-1.55567476e-05,-3.31397856e-06,1.07472952e-06,3.30294272e-08,-3.22843324e-07,-1.31431207e-09,1.24944161e-07,-7.60121646e-07,-2.08470119e-06,1.34310145e-07,1.40879218e-07,-1.33486479e-08,-2.38275542e-08,1.8475063e-08
0.009,-2.32379301e-05,-5.72824215e-06,1.45991094e-06,5.85810857e-08,-4.54770337e-07,-2.68264554e-09,1.82335249e-07,-1.12314639e-06,-3.40264858e-06,2.53302204e-07,2.17126251e-07,-6.38493768e-10,-3.77361233e-08,1.74526297e-08
0.01,-3.34938288e-05,-9.36179504e-06,1.8991315e-06,9.8507501e-08,-6.11915398e-07,-4.96168886e-09,2.52465995e-07,-1.57939796e-06,-5.28231239e-06,4.81999201e-07,3.17707576e-07,1.95438509e-08,-5.71297678e-08,1.38311508e-08
0.011,-4.68788366e-05,-1.46155025e-05,2.38325425e-06,1.58766049e-07,-7.94502314e-07,-8.52730804e-09,3.35953016e-07,-2.11974989e-06,-7.87264719e-06,8.8667844e-07,4.4479392e-07,4.83565813e-08,-8.33237858e-08,7.11550015e-09
0.012,-6.40105302e-05,-2.19645826e-05,2.89846779e-06,2.47202025e-07,-1.00244515e-06,-1.38379386e-08,4.33275334e-07,-2.72443106e-06,-1.13426221e-05,1.5573711e-06,5.99069596e-07,8.70048544e-08,-1.17770518e-07,-3.15707816e-09
0.013,-8.55698964e-05,-3.19634861e-05,3.42505135e-06,3.74028997e-07,-1.23539072e-06,-2.14398672e-08,5.44784819e-07,-3.36273655e-06,-1.58815519e-05,2.6126261e-06,7.79125228e-07,1.36799685e-07,-1.62049968e-07,-1.74235966e-08
0.014,-0.000112301376,-4.52506227e-05,3.9358684e-06,5.52401595e-07,-1.49274057e-06,-3.1971736e-08,6.7071733e-07,-3.99311297e-06,-2.16993145e-05,4.20469029e-06,9.8076186e-07,1.99217752e-07,-2.17857821e-07,-3.6099067e-08
0.015,-0.000145012805,-6.25529895e-05,4.39460806e-06,7.99090363e-07,-1.77364993e-06,-4.61689888e-08,8.11207979e-07,-4.56356372e-06,-2.90264738e-05,6.52508711e-06,1.19620183e-06,2.75968007e-07,-2.86990584e-07,-5.95831555e-08
