r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,1.19836872e-11,-1.86575698e-13,-1.58915787e-12,5.10435968e-14,-1.42634549e-13,1.37169871e-15,-1.24604572e-14,1.41293255e-11,3.95362245e-13,-2.34501077e-12,-1.25115663e-13,-1.05356427e-13,-5.07550246e-15,-5.29833817e-15
0.002,1.53372229e-10,-3.93850724e-12,-5.56250461e-12,3.07216036e-13,-6.19249122e-13,-1.07100881e-14,-3.61129382e-14,1.83635728e-10,8.65118992e-12,-1.18992475e-11,-8.58276257e-13,-2.89579409e-13,-3.24400157e-14,2.2304632e-14
0.003,7.3909618e-10,-2.68242807e-11,-9.6007125e-12,8.3111769e-13,-1.63193763e-12,-8.87288857e-14,-4.22422899e-14,8.89591292e-10,5.95484491e-11,-3.23503734e-11,-2.78910499e-12,-1.73465859e-13,-5.87498199e-14,1.11267128e-13
0.004,2.29194259e-09,-1.08281569e-10,-8.30639611e-12,1.49970942e-12,-3.46534894e-12,-2.67809174e-13,-3.28043797e-14,2.76691819e-09,2.4096273e-10,-6.39548528e-11,-6.61999737e-12,6.81667433e-13,-5.14075024e-14,2.46241773e-13
0.005,5.54188063e-09,-3.23487597e-10,1.04480944e-11,1.88357597e-12,-6.38013342e-12,-5.57357734e-13,-2.54560716e-14,6.70432044e-09,7.20069851e-10,-1.0125359e-10,-1.32975202e-11,2.68106215e-12,-2.53447145e-15,4.16900624e-13
0.006,1.14249853e-08,-7.95218356e-10,7.06715586e-11,9.45575194e-13,-1.05775086e-11,-9.53982182e-13,-3.34834548e-14,1.38438998e-08,1.76962239e-09,-1.30638793e-10,-2.41901106e-11,6.20222326e-12,7.70426681e-14,6.20813106e-13
0.007,2.10818898e-08,-1.70576217e-09,2.14742433e-10,-3.50371013e-12,-1.62069471e-11,-1.44665495e-12,-6.37154461e-14,2.5580465e-08,3.79413589e-09,-1.26777911e-10,-4.14015142e-11,1.16225584e-11,1.7240918e-13,8.58217073e-13
0.008,3.58558448e-08,-3.30887406e-09,5.1122198e-10,-1.56351613e-11,-2.33864728e-11,-2.01871418e-12,-1.18483982e-13,4.35605432e-08,7.35588699e-09,-4.77841687e-11,-6.82791574e-11,1.93406984e-11,2.73166185e-13,1.12995182e-12
0.009,5.72904213e-08,-5.94173498e-09,1.0639987e-09,-4.27494145e-11,-3.22208408e-11,-2.64996494e-12,-1.97312207e-13,6.96810911e-08,1.32006666e-08,1.70792139e-10,-1.10155462e-10,2.97852118e-11,3.76432528e-13,1.43673263e-12
