r,dnnbi,dne,dni,tbn,ti,te,vfova,cureq,feq,pressure,iota,q,1/D,curvature,shear,eta
0.0,0.9969444,0.9999998,0.9457294,0.8920153,0.9999965,0.9999962,0.3710133,0.0,1.000002,1.0,0.2902977,3.44474,1.000109,0.0,0.0,0.9999863
0.001,0.9969444,0.9999998,0.9457294,0.8920196,0.9999965,0.9999962,0.3710133,-6.716227e-08,1.000002,0.9999975,0.290298,3.444736,1.000108,-0.0006752387,2.339911e-06,1.0
0.002,0.9969197,0.999999,0.9457501,0.8920228,0.9999838,0.9999843,0.3710139,-2.686503e-07,1.000002,0.9999899,0.290299,3.444724,1.000107,-0.001350477,9.780353e-06,1.000041
0.003,0.9968892,0.9999975,0.945784,0.892025,0.9999619,0.9999644,0.3710144,-6.044676e-07,1.000002,0.9999773,0.2903008,3.444703,1.000106,-0.002025716,2.230402e-05,1.000108
0.004,0.9968528,0.9999954,0.945831,0.8920261,0.9999308,0.9999366,0.3710146,-1.07462e-06,1.000002,0.9999596,0.2903033,3.444673,1.000103,-0.002700955,3.989369e-05,1.000201
0.005,0.9968105,0.9999927,0.9458907,0.8920263,0.9998907,0.9999008,0.3710147,-1.679116e-06,1.000002,0.9999368,0.2903066,3.444634,1.0001,-0.003376194,6.25322e-05,1.000321
0.006,0.9967621,0.9999893,0.9459631,0.8920256,0.9998415,0.9998571,0.3710145,-2.417967e-06,1.000002,0.999909,0.2903106,3.444586,1.000096,-0.004051432,9.020248e-05,1.000466
0.007,0.9967076,0.9999853,0.9460479,0.8920241,0.9997833,0.9998055,0.3710142,-3.291185e-06,1.000002,0.9998762,0.2903153,3.44453,1.000092,-0.004726671,0.0001228875,1.000637
0.008,0.996647,0.9999807,0.9461449,0.8920219,0.9997161,0.999746,0.3710137,-4.298786e-06,1.000002,0.9998383,0.2903208,3.444466,1.000087,-0.00540191,0.0001605704,1.000834
0.009,0.9965802,0.9999754,0.946254,0.8920189,0.9996399,0.9996786,0.3710131,-5.440788e-06,1.000002,0.9997954,0.290327,3.444392,1.000081,-0.006077149,0.0002032343,1.001056
0.01,0.9965072,0.9999695,0.9463751,0.8920153,0.9995549,0.9996034,0.3710124,-6.717212e-06,1.000002,0.9997474,0.2903339,3.44431,1.000075,-0.006752388,0.0002508602,1.001303
0.011,0.9964278,0.9999629,0.9465078,0.8920112,0.999461,0.9995204,0.3710115,-8.128079e-06,1.000002,0.9996943,0.2903416,3.444219,1.000068,-0.007427626,0.0003034189,1.001575
0.012,0.996342,0.9999558,0.946652,0.8920065,0.9993583,0.9994296,0.3710105,-9.673414e-06,1.000002,0.9996362,0.2903499,3.44412,1.00006,-0.008102865,0.0003608768,1.001871
0.013,0.9962499,0.9999479,0.9468075,0.8920013,0.9992468,0.9993311,0.3710095,-1.135325e-05,1.000002,0.999573,0.290359,3.444012,1.000052,-0.008778105,0.0004232075,1.002192
0.014,0.9961515,0.9999395,0.9469742,0.8919957,0.9991266,0.9992248,0.3710083,-1.31676e-05,1.000002,0.9995048,0.2903688,3.443896,1.000042,-0.009453344,0.0004903865,1.002536
0.015,0.9960466,0.9999303,0.9471518,0.8919897,0.9989977,0.9991108,0.371007,-1.511652e-05,1.000002,0.9994315,0.2903794,3.443771,1.000033,-0.01012858,0.0005623898,1.002905
0.016,0.9959353,0.9999206,0.9473402,0.8919833,0.9988602,0.998989,0.3710057,-1.720003e-05,1.000002,0.9993532,0.2903906,3.443638,1.000022,-0.01080382,0.0006391931,1.003298
0.017,0.9958176,0.9999102,0.9475391,0.8919767,0.9987141,0.9988596,0.3710043,-1.941817e-05,1.000002,0.9992698,0.2904026,3.443496,1.000011,-0.01147906,0.0007207723,1.003714
0.018,0.9956934,0.9998991,0.9477485,0.8919697,0.9985594,0.9987226,0.3710029,-2.177098e-05,1.000002,0.9991814,0.2904152,3.443346,0.9999992,-0.0121543,0.0008071034,1.004154
0.019,0.9955628,0.9998873,0.947968,0.8919626,0.9983962,0.9985779,0.3710014,-2.42585e-05,1.000002,0.9990879,0.2904286,3.443187,0.9999868,-0.01282954,0.0008981624,1.004616
0.02,0.9954257,0.9998749,0.9481976,0.8919553,0.9982246,0.9984255,0.3709999,-2.688077e-05,1.000002,0.9989894,0.2904427,3.44302,0.9999736,-0.01350478,0.000993947,1.005102
0.021,0.995282,0.9998619,0.948437,0.891948,0.9980445,0.9982656,0.3709984,-2.963785e-05,1.000002,0.9988858,0.2904575,3.442845,0.9999597,-0.01418003,0.00109455,1.005611
0.022,0.9951316,0.9998482,0.948686,0.8919406,0.9978561,0.9980981,0.3709968,-3.252978e-05,1.000003,0.9987772,0.290473,3.442661,0.9999452,-0.01485527,0.001200088,1.006142
0.023,0.9949742,0.9998338,0.9489445,0.8919333,0.9976593,0.9979231,0.3709953,-3.555661e-05,1.000003,0.9986635,0.2904892,3.442469,0.99993,-0.01553051,0.001310595,1.006695
0.024,0.9948096,0.9998188,0.9492123,0.8919263,0.9974541,0.9977406,0.3709939,-3.871839e-05,1.000003,0.9985448,0.2905061,3.442269,0.9999142,-0.01620575,0.001426089,1.00727
0.025,0.9946376,0.9998032,0.9494891,0.8919196,0.9972406,0.9975507,0.3709925,-4.201519e-05,1.000003,0.998421,0.2905237,3.44206,0.9998976,-0.016881,0.001546584,1.007868
0.026,0.9944578,0.999787,0.9497749,0.8919133,0.9970189,0.9973533,0.3709912,-4.544706e-05,1.000003,0.9982921,0.290542,3.441843,0.9998804,-0.01755624,0.001672096,1.008487
