s,bet0_f,variable_eigen,m,n,gam,om_r
5.e6,0.0001,psi,1,1,0.00620804,0.0103868
5.e6,0.0001,phi,1,1,0.00488184,0.00500646
5.e6,0.0001,pr,1,1,0.00501356,0.00596156
5.e6,0.0001,nfast,1,1,0.00421007,0.00305227
5.e6,0.0001,vfast,1,1,0.00419837,0.00327629
5.e6,0.0001,vth,1,1,0.00406926,0.00587774
5.e6,0.0001,psi,2,1,0.00440707,0.0058858
5.e6,0.0001,phi,2,1,0.00488239,0.00500679
5.e6,0.0001,pr,2,1,0.00467539,0.00617054
5.e6,0.0001,nfast,2,1,0.00436714,0.00506312
5.e6,0.0001,vfast,2,1,0.00408737,0.00342209
5.e6,0.0001,vth,2,1,0.00463477,0.00628136
5.e6,0.0001,psi,3,1,0.00420478,0.0055227
5.e6,0.0001,phi,3,1,0.00503597,0.00572799
5.e6,0.0001,pr,3,1,0.0046584,0.00614154
5.e6,0.0001,nfast,3,1,0.0047045,0.00593753
5.e6,0.0001,vfast,3,1,0.00389122,0.00290274
5.e6,0.0001,vth,3,1,0.00420181,0.00409526
5.e6,0.0001,psi,4,1,0.00431076,0.00546813
5.e6,0.0001,phi,4,1,0.00465361,0.00394596
5.e6,0.0001,pr,4,1,0.00406341,0.00296142
5.e6,0.0001,nfast,4,1,0.00405323,0.00331141
5.e6,0.0001,vfast,4,1,0.00387805,0.00288928
5.e6,0.0001,vth,4,1,0.00460329,0.00611522
5.e6,0.0002,psi,1,1,0.00431854,-0.00281257
5.e6,0.0002,phi,1,1,0.00476511,0.00446761
5.e6,0.0002,pr,1,1,0.00383341,0.00566794
5.e6,0.0002,nfast,1,1,0.0041934,0.00291145
5.e6,0.0002,vfast,1,1,0.00416183,0.00305427
5.e6,0.0002,vth,1,1,0.00424907,0.00549858
5.e6,0.0002,psi,2,1,0.00430001,0.00578139
5.e6,0.0002,phi,2,1,0.00476558,0.00446987
5.e6,0.0002,pr,2,1,0.004673,0.00614402
5.e6,0.0002,nfast,2,1,0.00429521,0.00456768
5.e6,0.0002,vfast,2,1,0.00404888,0.00314095
5.e6,0.0002,vth,2,1,0.00462937,0.0062418
5.e6,0.0002,psi,3,1,0.00409447,0.0050191
5.e6,0.0002,phi,3,1,0.00496809,0.00541688
5.e6,0.0002,pr,3,1,0.00465769,0.00613918
5.e6,0.0002,nfast,3,1,0.00467677,0.00582148
5.e6,0.0002,vfast,3,1,0.00388405,0.00284363
5.e6,0.0002,vth,3,1,0.00414742,0.00358063
5.e6,0.0002,psi,4,1,0.00416787,0.00496845
5.e6,0.0002,phi,4,1,0.00455712,0.00350098
5.e6,0.0002,pr,4,1,0.00404658,0.0028784
5.e6,0.0002,nfast,4,1,0.00401168,0.0030603
5.e6,0.0002,vfast,4,1,0.00386407,0.00282956
5.e6,0.0002,vth,4,1,0.00456198,0.00591394
5.e6,0.00030000000000000003,psi,1,1,0.00819551,0.00803385
5.e6,0.00030000000000000003,phi,1,1,0.00499267,0.00550324
5.e6,0.00030000000000000003,pr,1,1,0.004817,0.00596905
5.e6,0.00030000000000000003,nfast,1,1,0.00423588,0.00334328
5.e6,0.00030000000000000003,vfast,1,1,0.00426495,0.00367092
5.e6,0.00030000000000000003,vth,1,1,0.00408029,0.00602111
5.e6,0.00030000000000000003,psi,2,1,0.00444746,0.00594378
5.e6,0.00030000000000000003,phi,2,1,0.00499328,0.00550117
5.e6,0.00030000000000000003,pr,2,1,0.00470171,0.00618052
5.e6,0.00030000000000000003,nfast,2,1,0.00444508,0.00545939
5.e6,0.00030000000000000003,vfast,2,1,0.00415753,0.0038942
5.e6,0.00030000000000000003,vth,2,1,0.00466521,0.00629135
5.e6,0.00030000000000000003,psi,3,1,0.00428187,0.00582666
5.e6,0.00030000000000000003,phi,3,1,0.00508686,0.00593999
5.e6,0.00030000000000000003,pr,3,1,0.00467853,0.00613821
5.e6,0.00030000000000000003,nfast,3,1,0.00473495,0.00600322
5.e6,0.00030000000000000003,vfast,3,1,0.00391646,0.00307189
5.e6,0.00030000000000000003,vth,3,1,0.00428588,0.00478617
5.e6,0.00030000000000000003,psi,4,1,0.00442966,0.00573103
5.e6,0.00030000000000000003,phi,4,1,0.00479308,0.0045865
5.e6,0.00030000000000000003,pr,4,1,0.00409952,0.00315004
5.e6,0.00030000000000000003,nfast,4,1,0.00416382,0.00376868
5.e6,0.00030000000000000003,vfast,4,1,0.00390346,0.00303254
5.e6,0.00030000000000000003,vth,4,1,0.00465193,0.00622021
5.e6,0.0004,psi,1,1,0.0053804,0.00297167
5.e6,0.0004,phi,1,1,0.0047694,0.00458686
5.e6,0.0004,pr,1,1,0.00438123,0.00582286
5.e6,0.0004,nfast,1,1,0.00419489,0.00295165
