bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,0,2,0.0119835,3.03283649442,6.47397e-09,1.5895e-09,Estable/Ruido,9,0.815,0
0.001,2500,1,0.1,0.5,20,2,0.011973,3.020606299194,4.24812e-09,1.33041e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,0.5,40,2,0.01197,3.01208295078,4.56164e-09,1.22069e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,2.0,0,2,0.0119679,3.00773430363,4.65606e-09,1.70103e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,2.0,20,2,0.011965,3.010007596416,5.24166e-09,1.64483e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,2.0,40,2,0.0119704,3.030599190438,4.85874e-09,2.24632e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,4.0,0,2,0.0119814,3.005502997782,4.44271e-09,1.7488e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,4.0,20,2,0.0119748,3.0017541640320005,5.01692e-09,1.38369e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,4.0,40,2,0.0119714,3.000944415942,4.97152e-09,1.35665e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,6.0,0,2,0.0119901,3.003139732986,3.88457e-09,1.574e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,6.0,20,2,0.0119897,3.004399341126,4.16382e-09,1.26278e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,6.0,40,2,0.01199,3.003313678872,4.29829e-09,1.12403e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,8.0,0,2,0.0119862,3.014944060698,3.69874e-09,1.60274e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,8.0,20,2,0.0119791,2.959947170052,3.38067e-09,9.37689e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,8.0,40,2,0.0119894,3.004021458684,4.03173e-09,1.06618e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,10.0,0,2,0.0119881,3.004783221702,3.77884e-09,1.51794e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,10.0,20,2,0.0119874,3.005467008978,3.82304e-09,1.26573e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,10.0,40,2,0.0119881,3.007440395064,3.91652e-09,1.1647e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,0.5,0,2,0.0119774,3.0417857103480004,3.87633e-09,1.66573e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,0.5,20,2,0.0119739,3.020564312256,4.26933e-09,1.30168e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,0.5,40,2,0.0119705,3.011980982502,4.50159e-09,1.25977e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,2.0,0,2,0.0119684,3.012838715664,4.6815e-09,1.74448e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,2.0,20,2,0.0119629,3.00449531127,5.28507e-09,1.54031e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,2.0,40,2,0.0119612,3.002593902792,5.23941e-09,1.52345e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,4.0,0,2,0.0119742,3.001448259198,4.7432e-09,1.65481e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,4.0,20,2,0.0119695,3.000944415942,5.3434e-09,1.47664e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,4.0,40,2,0.0119719,3.002917802028,5.41228e-09,1.48541e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,6.0,0,2,0.0119891,3.001964098722,4.18656e-09,1.63062e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,6.0,20,2,0.0119651,3.022615674084,1.28503e-08,4.43557e-08,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,6.0,40,2,0.0119858,2.999420889906,4.76764e-09,1.24714e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,8.0,0,2,0.0119915,3.003937484808,3.95308e-09,1.49748e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,8.0,20,2,0.013028,78.1292942304,4.63658e-07,0.00692716,Estable/Ruido,6,0.195,1
0.001,2500,1,0.2,8.0,40,2,0.011992,3.008232148752,4.05893e-09,1.21904e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,10.0,0,2,0.0119908,3.006102811182,3.867e-09,1.52968e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,10.0,20,2,0.0166909,116.8952342724,6.16811e-21,4.34436e-20,TAE,6,0.196,1
0.001,2500,1,0.2,10.0,40,2,0.0118101,3.3430539867660003,5.47155e-07,4.61895e-06,Estable/Ruido,9,0.817,0
0.001,2500,1,0.3,0.5,0,2,0.011977,3.042517482696,3.8482e-09,1.68525e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,0.5,20,2,0.0119742,3.02060030106,4.32908e-09,1.32761e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,0.5,40,2,0.0119712,3.013108631694,4.46246e-09,1.24859e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,2.0,0,2,0.0119679,3.013618473084,4.72231e-09,1.70553e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,2.0,20,2,0.0119632,3.036711288984,4.90643e-09,1.72558e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,2.0,40,2,0.0119632,3.007110497694,5.43801e-09,1.5504e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,4.0,0,2,0.0119712,3.0040394530860004,4.96241e-09,1.77982e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,4.0,20,2,0.0119641,2.995893987114,5.8308e-09,1.43393e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,4.0,40,2,0.0119649,2.9937226626060003,5.44258e-09,1.27711e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,6.0,0,2,0.0119841,3.003121738584,4.79861e-09,1.70096e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,6.0,20,2,0.0119796,3.002066067,5.37858e-09,1.37434e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,6.0,40,2,0.0119786,2.999162970144,5.62964e-09,1.34214e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,8.0,0,2,0.0119986,3.000260628666,5.5733e-09,1.57939e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,8.0,20,2,0.0119856,3.01385240031,4.06819e-09,1.42401e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,8.0,40,2,0.0119951,3.00224601102,4.95848e-09,1.47533e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,10.0,0,2,0.0119904,2.993140843608,4.02855e-09,1.23802e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,10.0,20,2,0.0119959,3.000578529768,4.62222e-09,1.44746e-09,Estable/Ruido,9,0.816,0
