bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,0,4,0.0195019,5.992819653276,3.53855e-09,1.24821e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.1,0.5,20,4,0.0194593,6.01444892448,1.93601e-09,8.73611e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.1,0.5,40,4,0.019608,5.808928861104,9.4681e-10,2.98208e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,2.0,0,4,0.0194979,5.977224504876,2.0476e-09,7.77863e-09,Estable/Ruido,18,0.816,1
0.001,2500,1,0.1,2.0,20,4,0.0194532,5.973019812942001,1.84732e-08,1.35531e-08,Estable/Ruido,18,0.816,1
0.001,2500,1,0.1,2.0,40,4,0.0196054,5.795870923386,1.4207e-09,2.18815e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,4.0,0,4,0.0196126,5.785146259794,1.41961e-09,2.67048e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,4.0,20,4,0.0195985,5.819407601202,1.32377e-09,7.44147e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,4.0,40,4,0.0195893,5.790070727808,2.47872e-09,4.38245e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,6.0,0,4,0.0196203,5.7922480504500005,9.62373e-10,2.84927e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,6.0,20,4,0.0196147,5.786177938842,2.00681e-09,3.6778e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,6.0,40,4,0.0195988,5.79683662296,1.15582e-09,2.70891e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,8.0,0,4,0.0196113,5.778326381436,1.41019e-09,2.68821e-09,Estable/Ruido,19,0.843,0
0.001,2500,1,0.1,8.0,20,4,0.0196127,5.805509924723999,1.24946e-09,5.78369e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.1,8.0,40,4,0.0195505,5.896033763051999,2.19974e-09,1.14276e-08,Estable/Ruido,19,0.842,1
0.001,2500,1,0.1,10.0,0,4,0.0194755,5.93686306119,2.87841e-09,8.68115e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.1,10.0,20,4,0.0195305,5.947017902052,3.91852e-09,5.84e-09,Estable/Ruido,18,0.816,0
0.001,2500,1,0.1,10.0,40,4,0.0196242,5.806985465688,1.08484e-09,2.51438e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,0.5,0,4,0.0196066,5.858461451676001,9.52858e-10,4.22961e-09,Estable/Ruido,19,0.842,0
0.001,2500,1,0.2,0.5,20,4,0.019566,5.855984222334,1.15648e-09,1.06067e-08,Estable/Ruido,19,0.843,0
