        r	      dnnbi	       dne	       dni	      tbn	        ti	        te	      vfova	      cureq	       feq	     pressure	       iota	        q	       1/D	    curvature	      shear	        eta
  0.0000000E+00	  0.9969444E+00	  0.9999998E+00	  0.9457294E+00	  0.9155757E+00	  0.9999965E+00	  0.9999962E+00	  0.4251063E+00	  0.0000000E+00	  0.1000002E+01	  0.1000000E+01	  0.2902977E+00	  0.3444740E+01	  0.1000109E+01	  0.0000000E+00	  0.0000000E+00	  0.9999863E+00
  0.1000000E-02	  0.9969444E+00	  0.9999998E+00	  0.9457294E+00	  0.9155791E+00	  0.9999965E+00	  0.9999962E+00	  0.4251063E+00	 -0.6716227E-07	  0.1000002E+01	  0.9999975E+00	  0.2902980E+00	  0.3444736E+01	  0.1000108E+01	 -0.6752387E-03	  0.2339911E-05	  0.1000000E+01
  0.2000000E-02	  0.9969197E+00	  0.9999990E+00	  0.9457501E+00	  0.9155816E+00	  0.9999838E+00	  0.9999843E+00	  0.4251069E+00	 -0.2686503E-06	  0.1000002E+01	  0.9999899E+00	  0.2902990E+00	  0.3444724E+01	  0.1000107E+01	 -0.1350477E-02	  0.9780353E-05	  0.1000041E+01
  0.3000000E-02	  0.9968892E+00	  0.9999975E+00	  0.9457840E+00	  0.9155833E+00	  0.9999619E+00	  0.9999644E+00	  0.4251073E+00	 -0.6044676E-06	  0.1000002E+01	  0.9999773E+00	  0.2903008E+00	  0.3444703E+01	  0.1000106E+01	 -0.2025716E-02	  0.2230402E-04	  0.1000108E+01
  0.4000000E-02	  0.9968528E+00	  0.9999954E+00	  0.9458310E+00	  0.9155842E+00	  0.9999308E+00	  0.9999366E+00	  0.4251075E+00	 -0.1074620E-05	  0.1000002E+01	  0.9999596E+00	  0.2903033E+00	  0.3444673E+01	  0.1000103E+01	 -0.2700955E-02	  0.3989369E-04	  0.1000201E+01
  0.5000000E-02	  0.9968105E+00	  0.9999927E+00	  0.9458907E+00	  0.9155843E+00	  0.9998907E+00	  0.9999008E+00	  0.4251075E+00	 -0.1679116E-05	  0.1000002E+01	  0.9999368E+00	  0.2903066E+00	  0.3444634E+01	  0.1000100E+01	 -0.3376194E-02	  0.6253220E-04	  0.1000321E+01
  0.6000000E-02	  0.9967621E+00	  0.9999893E+00	  0.9459631E+00	  0.9155838E+00	  0.9998415E+00	  0.9998571E+00	  0.4251074E+00	 -0.2417967E-05	  0.1000002E+01	  0.9999090E+00	  0.2903106E+00	  0.3444586E+01	  0.1000096E+01	 -0.4051432E-02	  0.9020248E-04	  0.1000466E+01
  0.7000000E-02	  0.9967076E+00	  0.9999853E+00	  0.9460479E+00	  0.9155826E+00	  0.9997833E+00	  0.9998055E+00	  0.4251071E+00	 -0.3291185E-05	  0.1000002E+01	  0.9998762E+00	  0.2903153E+00	  0.3444530E+01	  0.1000092E+01	 -0.4726671E-02	  0.1228875E-03	  0.1000637E+01
  0.8000000E-02	  0.9966470E+00	  0.9999807E+00	  0.9461449E+00	  0.9155808E+00	  0.9997161E+00	  0.9997460E+00	  0.4251067E+00	 -0.4298786E-05	  0.1000002E+01	  0.9998383E+00	  0.2903208E+00	  0.3444466E+01	  0.1000087E+01	 -0.5401910E-02	  0.1605704E-03	  0.1000834E+01
  0.9000000E-02	  0.9965802E+00	  0.9999754E+00	  0.9462540E+00	  0.9155785E+00	  0.9996399E+00	  0.9996786E+00	  0.4251062E+00	 -0.5440788E-05	  0.1000002E+01	  0.9997954E+00	  0.2903270E+00	  0.3444392E+01	  0.1000081E+01	 -0.6077149E-02	  0.2032343E-03	  0.1001056E+01
