bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,0.5,60,3,0.0155051,17.328009312600003,2.46825e-07,0.000295552,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,2,60,3,0.0155096,13.05595833378,4.0074e-07,0.000239358,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,4,60,3,0.0159708,5.773611848112,1.54816e-07,5.23309e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,6,60,3,0.0159409,5.965840046544001,2.51724e-07,6.32355e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,8,60,3,0.0160449,4.915368844722,4.59384e-08,9.41828e-06,Estable/Ruido,14,0.834,0
0.001,2500,1,0.1,10,60,3,0.0161041,4.414500663186,2.18079e-09,2.32572e-08,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,0.5,60,3,0.0155163,17.17199784726,2.42591e-07,0.000296688,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,2,60,3,0.0160534,4.919273629956,2.21443e-08,1.32378e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,4,60,3,0.01585,7.42035155274,3.08167e-07,0.000130182,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,6,60,3,0.0158411,7.126263042720001,4.28262e-07,0.000132029,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,8,60,3,0.015802,7.28119484394,5.9581e-07,0.000144546,Estable/Ruido,14,0.834,0
0.001,2500,1,0.2,10,60,3,0.0160959,4.47994630326,3.27569e-09,3.27821e-07,Estable/Ruido,14,0.834,0
0.001,2500,1,0.3,0.5,60,3,0.0156515,14.239150246620001,2.07722e-07,0.00026069,Estable/Ruido,14,0.834,0
0.001,2500,1,0.3,2,60,3,0.015584,12.51144772926,2.78796e-07,0.000226564,Estable/Ruido,14,0.835,0
0.001,2500,1,0.3,4,60,3,0.0158373,8.26668826014,2.29813e-07,0.000141188,Estable/Ruido,14,0.834,0
0.001,2500,1,0.3,6,60,3,0.0159113,7.18738402818,1.98073e-07,0.000124911,Estable/Ruido,14,0.834,0
0.001,2500,1,0.3,8,60,3,0.015507,14.03605342938,3.27612e-07,0.000234822,Estable/Ruido,14,0.835,0
0.001,2500,1,0.3,10,60,3,0.0152525,19.771409178840003,3.42248e-07,0.000291723,Estable/Ruido,14,0.833,4
0.001,2500,1,0.4,0.5,60,3,0.0160331,5.724493128786,3.21677e-08,3.8733e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.4,2,60,3,0.0157414,10.8104369082,2.12387e-07,0.000188092,Estable/Ruido,14,0.834,0
0.001,2500,1,0.4,4,60,3,0.0154826,15.797165553120001,3.18218e-07,0.00029385,Estable/Ruido,14,0.834,0
0.001,2500,1,0.4,6,60,3,0.0158727,8.95959269982,1.31169e-07,0.000151227,Estable/Ruido,14,0.834,0
0.001,2500,1,0.4,8,60,3,0.0155583,16.91515774938,2.08667e-07,0.00028688,Estable/Ruido,14,0.834,0
0.001,2500,1,0.4,10,60,3,0.0157459,13.2753700755,1.65466e-07,0.000256589,Estable/Ruido,14,0.834,0
0.001,2500,1,0.6,0.5,60,3,0.0160175,6.0803084358,3.69622e-08,4.61585e-05,Estable/Ruido,14,0.834,0
0.001,2500,1,0.6,2,60,3,0.0154947,16.601695266540002,2.25172e-07,0.000288083,Estable/Ruido,14,0.834,0
0.001,2500,1,0.6,4,60,3,0.0156861,14.18132823486,1.92897e-07,0.00029491,Estable/Ruido,14,0.835,0
0.001,2500,1,0.6,6,60,3,0.0157629,12.85058222562,1.66651e-07,0.000293782,Estable/Ruido,14,0.834,0
0.001,2500,1,0.6,8,60,3,0.0157598,13.09356663396,1.61075e-07,0.000294459,Estable/Ruido,14,0.834,0
0.001,2500,1,0.6,10,60,3,0.0157567,13.320116155140001,1.6156e-07,0.000294778,Estable/Ruido,14,0.834,0
0.001,2500,1,0.7,0.5,60,3,0.0153561,20.55512536728,1.47731e-07,0.00023751,Estable/Ruido,10,0.143,0
0.001,2500,1,0.7,2,60,3,0.0157173,12.84092522988,1.95985e-07,0.000260002,Estable/Ruido,14,0.834,0
0.001,2500,1,0.7,4,60,3,0.0157818,12.25592722086,1.63995e-07,0.00027737,Estable/Ruido,14,0.834,0
0.001,2500,1,0.7,6,60,3,0.0157913,12.275121249660002,1.55819e-07,0.000284532,Estable/Ruido,14,0.835,0
0.001,2500,1,0.7,8,60,3,0.0157823,12.51078793452,1.53989e-07,0.00028588,Estable/Ruido,14,0.834,0
0.001,2500,1,0.7,10,60,3,0.015762,13.06987400466,1.56342e-07,0.000290956,Estable/Ruido,14,0.834,0
0.001,2500,1,0.8,0.5,60,3,0.0154725,18.787055408100002,2.09683e-07,0.000283415,Estable/Ruido,14,0.834,4
0.001,2500,1,0.8,2,60,3,0.015777,11.7971299512,1.6211e-07,0.000235739,Estable/Ruido,14,0.834,0
0.001,2500,1,0.8,4,60,3,0.0157466,13.38027743916,1.61547e-07,0.00028741,Estable/Ruido,14,0.834,4
0.001,2500,1,0.8,6,60,3,0.0155257,19.06051033716,1.20397e-07,0.000235138,Estable/Ruido,10,0.143,0
0.001,2500,1,0.8,8,60,3,0.0157965,12.19408645932,1.56209e-07,0.000290113,Estable/Ruido,14,0.834,0
0.001,2500,1,0.8,10,60,3,0.0160118,6.40552726128,3.48884e-08,6.14579e-05,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.1,0.5,60,3,0.0159297,5.413585851030001,8.2069e-08,3.05768e-05,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.1,2,60,3,0.0160878,4.383790217106,2.53039e-09,3.2922e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.1,4,60,3,0.0160929,4.385631644244,2.73797e-09,2.11291e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.1,6,60,3,0.0161018,4.376514480564,2.48827e-09,4.31223e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.1,8,60,3,0.0161047,4.388396784018,2.42382e-09,2.10872e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.1,10,60,3,0.0161021,4.38214672839,2.41829e-09,2.35501e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.2,0.5,60,3,0.0160725,4.675263540702,1.68017e-08,5.74297e-06,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.2,2,60,3,0.0160884,4.3908080338860005,2.54194e-09,3.00851e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.2,4,60,3,0.0160903,4.374595077684,2.7835e-09,1.71621e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.2,6,60,3,0.0161021,4.382920487676,2.60017e-09,1.75514e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.2,8,60,3,0.0170652,108.5566283856,3.06297e-07,0.0105404,Estable/Ruido,9,0.215,1
0.0049,2500,1,0.2,10,60,3,0.02217,154.5965055294,1.4786e-24,1.7697e-24,TAE,9,0.216,1
0.0049,2500,1,0.3,0.5,60,3,0.0158771,6.99616351626,1.60768e-07,6.44418e-05,GAE,14,0.834,0
0.0049,2500,1,0.3,2,60,3,0.0160871,4.392277576716,3.02402e-09,1.8155e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.3,4,60,3,0.0160895,4.394166988926,2.93995e-09,1.9505e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.3,6,60,3,0.0160911,4.375440814578,2.96914e-09,1.43427e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.3,8,60,3,0.0160377,18.51995850108,1.89549e-07,0.00433839,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.3,10,60,3,0.0233744,158.2769605518,1.35987e-25,2.88813e-25,EAE,10,0.296,0
0.0049,2500,1,0.4,0.5,60,3,0.0154651,10.052812602660001,3.41843e-07,0.000156254,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.4,2,60,3,0.0160562,4.3971720540599994,2.35418e-09,2.16889e-09,Estable/Ruido,14,0.834,0
0.0049,2500,1,0.4,4,60,3,0.0160918,4.3940470262460005,2.5986e-09,2.23705e-09,Estable/Ruido,14,0.834,0
