bet0_f,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.001,2500,1,0.1,4,100,2,0.0119718,3.002389966236,4.70243e-09,1.34715e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,0.5,100,2,0.0119703,3.006000842904,4.73353e-09,1.33475e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,2,80,2,0.0119643,3.002377969968,5.12834e-09,1.42979e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,2,100,2,0.0119654,3.002240012886,4.99029e-09,1.36428e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,4,80,2,0.0119734,2.997891365736,4.81758e-09,1.31465e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,0.5,80,2,0.011965,2.998899052248,4.35399e-09,1.29596e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,10,100,2,0.011991,3.0066906283140002,4.01485e-09,9.16104e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,8,80,2,0.0119903,3.0062827552019997,4.14515e-09,9.16948e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,6,80,2,0.0119921,3.0067386133859997,4.50785e-09,1.08533e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,8,100,2,0.0119902,3.002138044608,3.9509e-09,8.60678e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,10,80,2,0.0119884,3.002593902792,3.94337e-09,9.14562e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.1,6,100,2,0.0119907,3.0029657871,4.32393e-09,1.0815e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,0.5,80,2,0.0119713,3.014260273422,4.89177e-09,1.45334e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,2,80,2,0.0119568,2.981564444988,4.85873e-09,1.04422e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,4,80,2,0.0119712,2.999234947752,5.03103e-09,1.36273e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,0.5,100,2,0.0119701,3.006318744006,4.63988e-09,1.35531e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,4,100,2,0.0119704,3.02350939605,4.41242e-09,1.60382e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,2,100,2,0.0119665,3.002054070732,5.36092e-09,1.39139e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,6,80,2,0.0119861,3.010301504982,4.81303e-09,1.43391e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,6,100,2,0.0119863,2.9982512537760004,5.00718e-09,1.36213e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,8,80,2,0.0119918,2.997495488892,4.21898e-09,1.11874e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,10,100,2,0.0119988,3.003373660212,4.5977e-09,1.27283e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,10,80,2,0.0119949,2.998761095166,4.4726e-09,1.2221e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.2,8,100,2,0.011997,3.001052382354,4.59517e-09,1.21721e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,0.5,80,2,0.0119681,3.006522680562,4.5504e-09,1.40652e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,0.5,100,2,0.011969,3.002323986762,4.57077e-09,1.29135e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,2,80,2,0.0119642,3.0046692571560003,5.21991e-09,1.39487e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,2,100,2,0.0119654,3.0040394530860004,5.12414e-09,1.40592e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,4,100,2,0.0119706,3.0170913926700003,4.74045e-09,1.58011e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,4,80,2,0.0119691,3.0021320464740002,5.13374e-09,1.42044e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,6,80,2,0.0119774,2.994400451748,5.10816e-09,1.32777e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,6,100,2,0.0119809,2.99813728923,4.87344e-09,1.31608e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,8,80,2,0.0119925,3.0015682218779998,4.295e-09,1.26146e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,8,100,2,0.0119946,3.0019581005880003,4.48839e-09,1.20612e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,10,80,2,0.0120018,3.0015682218779998,4.91764e-09,1.29623e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.3,10,100,2,0.0120018,2.997489490758,4.92799e-09,1.22045e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,0.5,80,2,0.0119698,3.0081421767419996,4.64538e-09,1.38641e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,0.5,100,2,0.0119695,3.0144582118440004,4.52322e-09,1.40061e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,2,80,2,0.0119622,2.9803828125900003,5.93995e-09,1.3247e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,4,80,2,0.0119663,2.999750787276,5.43915e-09,1.39887e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,2,100,2,0.011965,3.002689872936,5.04344e-09,1.32015e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,4,100,2,0.0119681,3.00467525529,5.13112e-09,1.49207e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,6,80,2,0.0119751,2.9991269813400003,5.3455e-09,1.35064e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,6,100,2,0.0119766,2.998491179136,4.98182e-09,1.31258e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,8,80,2,0.011984,2.998131291096,4.84794e-09,1.2389e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,10,80,2,0.0120019,2.9990130167939997,5.18272e-09,1.08212e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,8,100,2,0.0119886,2.996805703482,4.74255e-09,1.25724e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.4,10,100,2,0.0119983,2.993122849206,4.73251e-09,1.09641e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,0.5,80,2,0.0119608,2.9563422915179998,2.618e-09,3.93308e-09,Estable/Ruido,9,0.815,0
0.001,2500,1,0.6,0.5,100,2,0.0119706,3.004879191846,4.58972e-09,1.34486e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,2,80,2,0.011965,3.005347046298,5.27365e-09,1.37639e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,4,80,2,0.0119613,3.009377792346,5.24231e-09,1.59647e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,2,100,2,0.0119636,3.00620477946,4.91902e-09,1.36194e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,4,100,2,0.011962,3.001052382354,5.09083e-09,1.38217e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,6,80,2,0.0119511,2.949108541914,4.1838e-09,5.97098e-10,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,6,100,2,0.0119632,3.0000027089040002,5.22662e-09,1.60029e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,8,80,2,0.011966,3.001802149104,5.17284e-09,1.86594e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,10,80,2,0.0119735,2.989068110622,4.44584e-09,1.8828e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,8,100,2,0.0119689,2.9989530354540004,4.74881e-09,1.76461e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.6,10,100,2,0.0119799,2.99654778372,4.26742e-09,1.98428e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,0.5,80,2,0.0119708,3.0094497699539997,4.44353e-09,1.34981e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,0.5,100,2,0.011971,3.00920384646,4.4685e-09,1.37067e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,2,80,2,0.0119648,3.007548361476,5.18231e-09,1.3875e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,4,80,2,0.0119686,3.0237493214100004,5.23174e-09,1.7866e-09,Estable/Ruido,9,0.816,0
0.001,2500,1,0.7,2,100,2,0.0119656,3.00650468616,4.97673e-09,1.32792e-09,Estable/Ruido,9,0.816,0
