bet0_f,spe1,s,maxstp,EP_dens_on,Bdens,Adens,Beam Ion Effective Temp(keV),Ion Temp(keV),Thermal Pressure(kPa),Tor Rot(km/s),gam,om_r,gam_var,om_r_var
0.001,1,5000000.0,2500,1,0.1,0.5,0,0,0,0,0.005230047916666667,0.005852498333333333,1.1237796599818845e-08,3.3782177188405684e-09
0.001,1,5000000.0,2500,1,0.1,0.5,10,0,0,0,0.0052272404166666675,0.0058126625,1.1263589108514498e-08,5.704013341304353e-09
0.001,1,5000000.0,2500,1,0.1,0.5,20,0,0,0,0.0052328395833333334,0.005836328333333332,1.1268323091123178e-08,3.510071153623183e-09
0.001,1,5000000.0,2500,1,0.1,0.5,30,0,0,0,0.00521968,0.005778181666666667,1.2278662773913052e-08,1.1601042544927535e-08
0.001,1,5000000.0,2500,1,0.1,0.5,40,0,0,0,0.0052108475,0.005755159166666667,1.3638337463043466e-08,1.9920574503623212e-08
0.001,1,5000000.0,2500,1,0.1,0.5,60,0,0,0,0.005204495,0.005797073333333333,1.3389966547826076e-08,8.628674223188423e-09
0.001,1,5000000.0,2500,1,0.1,2,0,0,0,0,0.005224322916666666,0.005853627916666666,1.1917794847644919e-08,3.524784547644933e-09
0.001,1,5000000.0,2500,1,0.1,2,10,0,0,0,0.005221750833333334,0.00582658125,1.24719728253623e-08,3.7205251679347744e-09
0.001,1,5000000.0,2500,1,0.1,2,20,0,0,0,0.005213867083333333,0.005821123333333333,1.3385606038949265e-08,4.3901705188405775e-09
0.001,1,5000000.0,2500,1,0.1,2,30,0,0,0,0.005217780833333334,0.005831585,1.3780145190579735e-08,3.846340278260867e-09
0.001,1,5000000.0,2500,1,0.1,2,40,0,0,0,0.0051941154166666665,0.005793292083333334,1.5043664878079717e-08,1.2221413217210164e-08
0.001,1,5000000.0,2500,1,0.1,2,60,0,0,0,0.005212831250000001,0.005806452083333334,1.4592675515760864e-08,5.284903191123197e-09
0.001,1,5000000.0,2500,1,0.1,5,0,0,0,0,0.00975036875,0.16690004166666664,2.010869565193507e-17,4.166666666675001e-14
0.001,1,5000000.0,2500,1,0.1,5,10,0,0,0,0.0100633,0.176266,0.0,0.0
0.001,1,5000000.0,2500,1,0.1,5,20,0,0,0,0.006236975416666668,0.1272650575,3.730148786693841e-07,0.0062788976729480795
0.001,1,5000000.0,2500,1,0.1,5,30,0,0,0,0.00520393,0.00577410375,1.4301638130434792e-08,1.8893458476630458e-08
0.001,1,5000000.0,2500,1,0.1,5,40,0,0,0,0.0052036124999999996,0.005771112500000001,1.4662136428260859e-08,1.8170229950000016e-08
0.001,1,5000000.0,2500,1,0.1,5,60,0,0,0,0.00521001125,0.005828485416666667,1.5478157289673924e-08,4.323655225905797e-09
0.001,1,5000000.0,2500,1,0.1,8,0,0,0,0,0.0124401,0.164692,0.0,0.0
0.001,1,5000000.0,2500,1,0.1,8,10,0,0,0,0.014585599999999999,0.175019,3.14010317019658e-36,0.0
0.001,1,5000000.0,2500,1,0.1,8,20,0,0,0,0.0120853,0.184358,0.0,0.0
0.001,1,5000000.0,2500,1,0.1,8,30,0,0,0,0.0058278537500000005,0.11060816750000001,1.900845191201087e-07,0.007751601583291473
0.001,1,5000000.0,2500,1,0.1,8,40,0,0,0,0.005113263333333333,0.00548134,3.523809125797102e-08,3.4787909243478255e-07
0.001,1,5000000.0,2500,1,0.1,8,60,0,0,0,0.0052058074999999995,0.005791721666666666,1.4667756289130431e-08,8.443271875362325e-09
0.001,1,5000000.0,2500,1,0.1,10,0,0,0,0,0.013541199999999998,0.163247,3.14010317019658e-36,0.0
