        r	      denseq	       teeq	       nfeq	     dnfeqdr	      vfova	      cureq	       feq	    pressure	       iota	        1/D	    curvature	      shear	     eta
  0.0000000E+00	  0.1000000E+01	  0.1000000E+01	  0.1000000E+01	  0.0000000E+00	  0.6800000E+00	  0.0000000E+00	  0.1000733E+01	  0.1000000E+01	 -0.4747710E+00	  0.1000780E+01	  0.0000000E+00	 -0.0000000E+00	  0.1000000E+01
  0.1000000E-02	  0.9999985E+00	  0.9999987E+00	  0.9997959E+00	 -0.2054998E+00	  0.6800000E+00	  0.8739431E-09	  0.1000733E+01	  0.9999998E+00	 -0.4747711E+00	  0.1000780E+01	 -0.1546138E-03	  0.4744885E-06	  0.1000002E+01
  0.2000000E-02	  0.9999939E+00	  0.9999949E+00	  0.9995890E+00	 -0.2083090E+00	  0.6800000E+00	  0.3495767E-08	  0.1000733E+01	  0.9999994E+00	 -0.4747715E+00	  0.1000780E+01	 -0.3092275E-03	  0.1898062E-05	  0.1000008E+01
  0.3000000E-02	  0.9999863E+00	  0.9999886E+00	  0.9993793E+00	 -0.2111554E+00	  0.6800000E+00	  0.7865456E-08	  0.1000733E+01	  0.9999986E+00	 -0.4747720E+00	  0.1000779E+01	 -0.4638413E-03	  0.4271045E-05	  0.1000017E+01
  0.4000000E-02	  0.9999756E+00	  0.9999797E+00	  0.9991667E+00	 -0.2140394E+00	  0.6800000E+00	  0.1398298E-07	  0.1000733E+01	  0.9999975E+00	 -0.4747728E+00	  0.1000779E+01	 -0.6184551E-03	  0.7593977E-05	  0.1000030E+01
  0.5000000E-02	  0.9999619E+00	  0.9999683E+00	  0.9989512E+00	 -0.2169615E+00	  0.6800000E+00	  0.2184831E-07	  0.1000733E+01	  0.9999961E+00	 -0.4747738E+00	  0.1000778E+01	 -0.7730689E-03	  0.1186761E-04	  0.1000047E+01
  0.6000000E-02	  0.9999451E+00	  0.9999544E+00	  0.9987328E+00	 -0.2199222E+00	  0.6800000E+00	  0.3146140E-07	  0.1000733E+01	  0.9999944E+00	 -0.4747751E+00	  0.1000777E+01	 -0.9276826E-03	  0.1709293E-04	  0.1000068E+01
  0.7000000E-02	  0.9999253E+00	  0.9999380E+00	  0.9985114E+00	 -0.2229218E+00	  0.6800000E+00	  0.4282218E-07	  0.1000734E+01	  0.9999924E+00	 -0.4747765E+00	  0.1000776E+01	 -0.1082296E-02	  0.2327112E-04	  0.1000093E+01
  0.8000000E-02	  0.9999025E+00	  0.9999190E+00	  0.9982869E+00	 -0.2259610E+00	  0.6800000E+00	  0.5593059E-07	  0.1000734E+01	  0.9999901E+00	 -0.4747782E+00	  0.1000775E+01	 -0.1236910E-02	  0.3040358E-04	  0.1000122E+01
  0.9000000E-02	  0.9998766E+00	  0.9998975E+00	  0.9980594E+00	 -0.2290402E+00	  0.6800000E+00	  0.7078656E-07	  0.1000734E+01	  0.9999875E+00	 -0.4747801E+00	  0.1000774E+01	 -0.1391524E-02	  0.3849194E-04	  0.1000154E+01
  0.1000000E-01	  0.9998477E+00	  0.9998734E+00	  0.9978288E+00	 -0.2321598E+00	  0.6800000E+00	  0.8738998E-07	  0.1000734E+01	  0.9999845E+00	 -0.4747823E+00	  0.1000772E+01	 -0.1546137E-02	  0.4753805E-04	  0.1000190E+01
  0.1100000E-01	  0.9998157E+00	  0.9998468E+00	  0.9975951E+00	 -0.2353203E+00	  0.6800000E+00	  0.1057408E-06	  0.1000734E+01	  0.9999813E+00	 -0.4747847E+00	  0.1000771E+01	 -0.1700751E-02	  0.5754397E-04	  0.1000230E+01
  0.1200000E-01	  0.9997808E+00	  0.9998177E+00	  0.9973582E+00	 -0.2385223E+00	  0.6800000E+00	  0.1258388E-06	  0.1000734E+01	  0.9999777E+00	 -0.4747873E+00	  0.1000769E+01	 -0.1855364E-02	  0.6851198E-04	  0.1000273E+01
  0.1300000E-01	  0.9997428E+00	  0.9997861E+00	  0.9971181E+00	 -0.2417663E+00	  0.6800000E+00	  0.1476840E-06	  0.1000734E+01	  0.9999738E+00	 -0.4747901E+00	  0.1000767E+01	 -0.2009977E-02	  0.8044460E-04	  0.1000321E+01
  0.1400000E-01	  0.9997017E+00	  0.9997520E+00	  0.9968747E+00	 -0.2450527E+00	  0.6800000E+00	  0.1712761E-06	  0.1000734E+01	  0.9999696E+00	 -0.4747931E+00	  0.1000765E+01	 -0.2164590E-02	  0.9334453E-04	  0.1000372E+01
  0.1500000E-01	  0.9996577E+00	  0.9997153E+00	  0.9966280E+00	 -0.2483820E+00	  0.6800000E+00	  0.1966152E-06	  0.1000734E+01	  0.9999651E+00	 -0.4747964E+00	  0.1000763E+01	 -0.2319203E-02	  0.1072147E-03	  0.1000427E+01
  0.1600000E-01	  0.9996107E+00	  0.9996762E+00	  0.9963779E+00	 -0.2517549E+00	  0.6800000E+00	  0.2237009E-06	  0.1000734E+01	  0.9999603E+00	 -0.4747999E+00	  0.1000760E+01	 -0.2473815E-02	  0.1220584E-03	  0.1000486E+01
  0.1700000E-01	  0.9995607E+00	  0.9996345E+00	  0.9961245E+00	 -0.2551717E+00	  0.6800000E+00	  0.2525332E-06	  0.1000734E+01	  0.9999552E+00	 -0.4748037E+00	  0.1000758E+01	 -0.2628427E-02	  0.1378789E-03	  0.1000549E+01
  0.1800000E-01	  0.9995077E+00	  0.9995903E+00	  0.9958676E+00	 -0.2586331E+00	  0.6800000E+00	  0.2831118E-06	  0.1000734E+01	  0.9999498E+00	 -0.4748076E+00	  0.1000755E+01	 -0.2783039E-02	  0.1546799E-03	  0.1000615E+01
  0.1900000E-01	  0.9994517E+00	  0.9995436E+00	  0.9956072E+00	 -0.2621394E+00	  0.6800000E+00	  0.3154367E-06	  0.1000734E+01	  0.9999441E+00	 -0.4748118E+00	  0.1000752E+01	 -0.2937650E-02	  0.1724652E-03	  0.1000685E+01
  0.2000000E-01	  0.9993927E+00	  0.9994943E+00	  0.9953433E+00	 -0.2656914E+00	  0.6800000E+00	  0.3495075E-06	  0.1000735E+01	  0.9999380E+00	 -0.4748162E+00	  0.1000749E+01	 -0.3092260E-02	  0.1912389E-03	  0.1000759E+01
  0.2100000E-01	  0.9993308E+00	  0.9994426E+00	  0.9950758E+00	 -0.2692895E+00	  0.6800000E+00	  0.3853241E-06	  0.1000735E+01	  0.9999317E+00	 -0.4748209E+00	  0.1000746E+01	 -0.3246870E-02	  0.2110054E-03	  0.1000837E+01
  0.2200000E-01	  0.9992658E+00	  0.9993884E+00	  0.9948047E+00	 -0.2729342E+00	  0.6800000E+00	  0.4228863E-06	  0.1000735E+01	  0.9999250E+00	 -0.4748258E+00	  0.1000743E+01	 -0.3401479E-02	  0.2317691E-03	  0.1000918E+01
  0.2300000E-01	  0.9991980E+00	  0.9993317E+00	  0.9945299E+00	 -0.2766262E+00	  0.6800000E+00	  0.4621938E-06	  0.1000735E+01	  0.9999181E+00	 -0.4748309E+00	  0.1000739E+01	 -0.3556086E-02	  0.2535349E-03	  0.1001003E+01
  0.2400000E-01	  0.9991272E+00	  0.9992725E+00	  0.9942515E+00	 -0.2803659E+00	  0.6800000E+00	  0.5032465E-06	  0.1000735E+01	  0.9999108E+00	 -0.4748362E+00	  0.1000735E+01	 -0.3710693E-02	  0.2763077E-03	  0.1001092E+01
  0.2500000E-01	  0.9990534E+00	  0.9992107E+00	  0.9939692E+00	 -0.2841539E+00	  0.6800000E+00	  0.5460440E-06	  0.1000735E+01	  0.9999032E+00	 -0.4748418E+00	  0.1000732E+01	 -0.3865298E-02	  0.3000929E-03	  0.1001185E+01
  0.2600000E-01	  0.9989768E+00	  0.9991465E+00	  0.9936831E+00	 -0.2879908E+00	  0.6800000E+00	  0.5905861E-06	  0.1000735E+01	  0.9998953E+00	 -0.4748476E+00	  0.1000728E+01	 -0.4019902E-02	  0.3248958E-03	  0.1001282E+01
  0.2700000E-01	  0.9988972E+00	  0.9990799E+00	  0.9933932E+00	 -0.2918771E+00	  0.6800000E+00	  0.6368726E-06	  0.1000736E+01	  0.9998871E+00	 -0.4748537E+00	  0.1000724E+01	 -0.4174504E-02	  0.3507224E-03	  0.1001382E+01
  0.2800000E-01	  0.9988147E+00	  0.9990107E+00	  0.9930994E+00	 -0.2958135E+00	  0.6800000E+00	  0.6849031E-06	  0.1000736E+01	  0.9998786E+00	 -0.4748600E+00	  0.1000719E+01	 -0.4329105E-02	  0.3775785E-03	  0.1001486E+01
  0.2900000E-01	  0.9987293E+00	  0.9989390E+00	  0.9928016E+00	 -0.2998004E+00	  0.6800000E+00	  0.7346774E-06	  0.1000736E+01	  0.9998698E+00	 -0.4748665E+00	  0.1000715E+01	 -0.4483703E-02	  0.4054703E-03	  0.1001594E+01
  0.3000000E-01	  0.9986411E+00	  0.9988649E+00	  0.9924998E+00	 -0.3038385E+00	  0.6800000E+00	  0.7861952E-06	  0.1000736E+01	  0.9998606E+00	 -0.4748733E+00	  0.1000710E+01	 -0.4638299E-02	  0.4344044E-03	  0.1001705E+01
  0.3100000E-01	  0.9985499E+00	  0.9987883E+00	  0.9921939E+00	 -0.3079284E+00	  0.6800000E+00	  0.8394561E-06	  0.1000736E+01	  0.9998512E+00	 -0.4748803E+00	  0.1000706E+01	 -0.4792892E-02	  0.4643875E-03	  0.1001820E+01
  0.3200000E-01	  0.9984559E+00	  0.9987093E+00	  0.9918839E+00	 -0.3120706E+00	  0.6800000E+00	  0.8944599E-06	  0.1000737E+01	  0.9998414E+00	 -0.4748875E+00	  0.1000701E+01	 -0.4947483E-02	  0.4954265E-03	  0.1001939E+01
  0.3300000E-01	  0.9983591E+00	  0.9986278E+00	  0.9915698E+00	 -0.3162657E+00	  0.6800000E+00	  0.9512063E-06	  0.1000737E+01	  0.9998314E+00	 -0.4748950E+00	  0.1000696E+01	 -0.5102070E-02	  0.5275288E-03	  0.1002062E+01
