r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,1.2561220900000002e-15,-1.0071835e-16,-1.23789894e-15,-5.5390136899999993e-17,2.79262035e-17,1.0049315399999998e-17,6.05265213e-18,1.07859354e-18,-3.0616365e-19,7.14180944e-20,-4.8393848e-17,-1.40102116e-16,-6.17122935e-17,-4.2861558599999995e-17,-7.74403442e-18,1.1993692599999998e-17,8.89191178e-19,1.51721195e-18,-1.10945195e-19,2.82694436e-20
0.002,4.60593332e-14,5.917313930000001e-16,-1.55411404e-14,-1.5178117500000002e-15,-6.91882035e-16,1.9274774899999998e-17,2.988801e-17,-1.12908352e-18,-1.3668005699999999e-18,-2.45598702e-19,-2.2008244e-15,-1.03373733e-15,-2.78992875e-17,-8.21593593e-16,-4.19294559e-16,-5.83699001e-17,1.9856583499999998e-18,2.5583719199999997e-18,-7.46835385e-20,3.39249634e-20
0.003,4.46256996e-13,1.72066639e-14,-7.38152712e-14,-1.01996903e-14,-6.6476949800000004e-15,2.18262453e-16,2.1963599900000002e-16,1.95449951e-18,4.90160383e-18,-4.241423e-19,-2.11922332e-14,-6.271133680000001e-15,4.86766708e-16,-3.2039868300000004e-15,-3.95124298e-15,-7.59256624e-16,-6.105134359999999e-18,4.5521865499999994e-18,-3.99633618e-19,1.53317872e-19
0.004,2.3499592e-12,1.31342078e-13,-2.2491669e-13,-3.97263733e-14,-3.16644085e-14,1.3242777000000001e-15,9.06985099e-16,3.21894442e-17,3.0199889599999996e-17,2.67827852e-19,-1.09130048e-13,-3.26390258e-14,-1.51732921e-15,-7.47334962e-15,-1.72825559e-14,-3.82258248e-15,-5.2173117899999994e-17,2.20081201e-18,-1.70324974e-18,2.28100997e-19
0.005,8.67989583e-12,6.19050737e-13,-5.27702439e-13,-1.15262896e-13,-1.05839607e-13,4.25333766e-15,2.5922980300000003e-15,1.26728539e-16,9.131954919999999e-17,3.4110057399999998e-18,-3.91824414e-13,-1.34918103e-13,-2.29643878e-14,-1.37394817e-14,-4.99839424e-14,-1.25541787e-14,-2.09630824e-16,-1.3684216099999999e-17,-4.75044268e-18,-9.52246758e-20
0.006,2.54389498e-11,2.19211052e-12,-1.03168999e-12,-2.76162254e-13,-2.82255094e-13,9.815247840000001e-15,5.95579965e-15,3.45651774e-16,2.11436973e-16,1.1633100699999998e-17,-1.11031648e-12,-4.51590259e-13,-1.19687063e-13,-2.45374292e-14,-1.11116609e-13,-3.15595685e-14,-6.18867737e-16,-5.84779856e-17,-1.13235484e-17,-1.5408005199999998e-18
0.007,6.33747456e-11,6.3897394e-12,-1.73810243e-12,-5.76362209e-13,-6.43307594e-13,1.88418694e-14,1.18963383e-14,7.78800078e-16,4.2135948400000003e-16,2.88087847e-17,-2.65872533e-12,-1.27678545e-12,-4.35932931e-13,-5.27135231e-14,-2.06302985e-13,-6.63625628e-14,-1.5339701100000001e-15,-1.56995616e-16,-2.55014976e-17,-5.325930079999999e-18
0.008,1.3999284e-10,1.61573559e-11,-2.53059545e-12,-1.08082895e-12,-1.30843419e-12,3.26111326e-14,2.15827688e-14,1.5540100200000002e-15,7.60915723e-16,6.030799379999999e-17,-5.60721019e-12,-3.16247838e-12,-1.29101641e-12,-1.3909777e-13,-3.39335222e-13,-1.23342859e-13,-3.4073357500000002e-15,-3.4676100100000003e-16,-5.5509657499999995e-17,-1.3291060599999999e-17
0.009,2.81905691e-10,3.66482891e-11,-3.06243166e-12,-1.85534383e-12,-2.44621717e-12,5.3282578e-14,3.65078627e-14,2.8480101300000003e-15,1.28047348e-15,1.13320961e-16,-1.06966316e-11,-7.05328936e-12,-3.31806773e-12,-3.86380585e-13,-5.23294587e-13,-2.10172602e-13,-7.0180321900000006e-15,-6.8131431e-16,-1.16275984e-16,-2.8049859399999996e-17
0.01,5.27502159e-10,7.62834808e-11,-2.58424781e-12,-2.94565927e-12,-4.2945112e-12,8.40413353e-14,5.85401685e-14,4.9009883e-15,2.04256557e-15,1.97274783e-16,-1.87894177e-11,-1.44542848e-11,-7.67188695e-12,-1.01797989e-12,-8.08170311e-13,-3.36877182e-13,-1.36488718e-14,-1.2333151100000002e-15,-2.32809814e-16,-5.318179179999999e-17
0.011,9.29919838e-10,1.48103185e-10,3.06153592e-13,-4.34052513e-12,-7.19307124e-12,1.28587955e-13,8.99728327e-14,8.035776490000001e-15,3.1236288700000004e-15,3.24374243e-16,-3.07592269e-11,-2.76299217e-11,-1.6324645e-11,-2.47343528e-12,-1.33549396e-12,-5.17749905e-13,-2.53195876e-14,-2.0968423800000003e-15,-4.44539049e-16,-9.344822859999999e-17
0.012,1.5603e-09,2.71443435e-10,8.01336842e-12,-5.91127574e-12,-1.16344861e-11,1.8945722e-13,1.33569589e-13,1.26826868e-14,4.61589746e-15,5.102834400000001e-16,-4.73002645e-11,-4.98297501e-11,-3.24695372e-11,-5.55492761e-12,-2.43543653e-12,-7.74572551e-13,-4.50869882e-14,-3.3877887600000004e-15,-8.10723938e-16,-1.55071043e-16
0.013,2.51130238e-09,4.739686e-10,2.44176008e-11,-7.31851435e-12,-1.83410147e-11,2.64384353e-13,1.92607544e-13,1.94109966e-14,6.62952948e-15,7.749817730000001e-16,-6.86355907e-11,-8.55336938e-11,-6.10534369e-11,-1.16428441e-11,-4.78806814e-12,-1.14191738e-12,-7.74263281e-14,-5.240897770000001e-15,-1.4171226300000002e-15,-2.45988403e-16
0.014,3.90085442e-09,7.94089688e-10,5.54988123e-11,-7.87388214e-12,-2.83770389e-11,3.39558695e-13,2.70914454e-13,2.89680389e-14,9.29505074e-15,1.14385211e-15,-9.41024704e-11,-1.4070669e-10,-1.09460072e-10,-2.30018513e-11,-9.67810811e-12,-1.6757373e-12,-1.28711788e-13,-7.801328870000001e-15,-2.3840072900000003e-15,-3.76171199e-16
0.015,5.87610694e-09,1.28379613e-09,1.10142194e-10,-6.34190287e-12,-4.330914e-11,3.78111757e-13,3.72894854e-13,4.23265049e-14,1.27662918e-14,1.64900182e-15,-1.21591784e-10,-2.23049205e-10,-1.8836521e-10,-4.32026563e-11,-1.93816337e-11,-2.46700968e-12,-2.07817712e-13,-1.12084488e-14,-3.87572167e-15,-5.57822663e-16
0.016,8.61756551e-09,2.0119266e-09,2.01158506e-10,-6.63402986e-13,-6.54281265e-11,3.01574602e-13,5.03534726e-13,6.07399404e-14,1.72238838e-14,2.3309732300000003e-15,-1.46817769e-10,-3.42226678e-10,-3.12784733e-10,-7.76884865e-11,-3.77340373e-11,-3.66291849e-12,-3.26867759e-13,-1.55685745e-14,-6.1118079100000006e-15,-8.05597841e-16
