r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-3.15957123e-14,-2.30594301e-16,1.860719e-14,4.82823949e-16,-1.6940759500000001e-16,-5.0505054999999997e-17,-1.16892509e-16,-7.84808473e-18,-1.9606154499999998e-17,-9.08037173e-19,1.21651684e-14,1.44972621e-16,-7.068822070000001e-15,-2.69841465e-16,4.3567090099999994e-17,2.6809897299999997e-17,4.38905362e-17,4.3072777099999996e-18,7.44318814e-18,4.8595447e-19
0.002,-1.13314046e-12,-2.39993232e-14,2.11660725e-13,9.126835580000001e-15,7.12515252e-15,-6.010064139999999e-17,8.431062029999999e-17,-3.8842542699999996e-17,-3.28612533e-17,-5.99569579e-18,4.33443513e-13,1.3764602e-14,-7.92100162e-14,-5.02323038e-15,-2.9538828e-15,1.8064457399999998e-17,-4.1050210899999995e-17,2.20198348e-17,1.16790727e-17,3.32873361e-18
0.003,-1.0968237e-11,-3.50653141e-13,9.87921307e-13,6.09772479e-14,4.60387811e-14,1.3154277500000002e-15,2.28374787e-15,-2.09991994e-17,9.789770249999999e-17,-1.1602262699999999e-17,4.17907746e-12,1.98826942e-13,-3.58252103e-13,-3.31584713e-14,-1.88308531e-14,-8.60173399e-16,-8.982432260000001e-16,1.5359527499999997e-17,-3.8938866399999995e-17,7.10255463e-18
0.004,-5.77691682e-11,-2.45237987e-12,3.00982569e-12,2.45102977e-13,1.59654591e-13,7.85171184e-15,9.38811226e-15,2.9669261800000003e-16,6.08598336e-16,8.7100975e-19,2.19278834e-11,1.38293007e-12,-1.02019576e-12,-1.30554701e-13,-6.61841631e-14,-5.14404709e-15,-3.6740203700000004e-15,-1.65705607e-16,-2.31047618e-16,1.81153295e-18
0.005,-2.13461747e-10,-1.12937645e-11,7.13321485e-12,7.3153404e-13,4.14761044e-13,2.66212982e-14,2.56997502e-14,1.40891094e-15,1.84544158e-15,7.030355319999999e-17,8.06934997e-11,6.34193736e-12,-2.0989157e-12,-3.75159622e-13,-1.76785311e-13,-1.80578642e-14,-1.02656518e-14,-8.4720586e-16,-6.97063369e-16,-3.6115865399999996e-17
0.006,-6.2590915e-10,-3.96740862e-11,1.42581376e-11,1.79705403e-12,9.09185131e-13,6.87922328e-14,5.7116311e-14,4.11482833e-15,4.280583970000001e-15,2.60375556e-16,2.35523321e-10,2.21897966e-11,-3.06636121e-12,-8.61878893e-13,-4.01792857e-13,-4.85741879e-14,-2.3783151e-14,-2.5934139e-15,-1.6368204400000002e-15,-1.48656238e-16
0.007,-1.56014153e-09,-1.15290752e-10,2.50245027e-11,3.84817445e-12,1.78312452e-12,1.50535788e-13,1.11313916e-13,9.593667460000001e-15,8.52940525e-15,6.64313951e-16,5.84036167e-10,6.4214874e-11,-1.99792733e-12,-1.64384965e-12,-8.17286628e-13,-1.1074229e-13,-4.92684661e-14,-6.272667440000001e-15,-3.3516986700000003e-15,-4.01101595e-16
0.008,-3.44839795e-09,-2.91199726e-10,3.92649228e-11,7.43832046e-12,3.2380515e-12,2.93938675e-13,1.97865903e-13,1.95105333e-14,1.5367271e-14,1.41071724e-15,1.28343237e-09,1.61468684e-10,5.89311748e-12,-2.59268647e-12,-1.52445031e-12,-2.25600115e-13,-9.4722021e-14,-1.3134576e-14,-6.2929898600000005e-15,-8.87599355e-16
0.009,-6.9487652e-09,-6.60345205e-10,5.51034756e-11,1.32741297e-11,5.56960818e-12,5.27455367e-13,3.2825375e-13,3.61661079e-14,2.5743936e-14,2.6711316e-15,2.56953518e-09,3.64376468e-10,3.06102647e-11,-3.12298563e-12,-2.63685221e-12,-4.24043654e-13,-1.72496424e-13,-2.49042305e-14,-1.11263975e-14,-1.7379302400000002e-15
0.01,-1.30121538e-08,-1.37482581e-09,6.75631218e-11,2.22025999e-11,9.22451999e-12,8.84972219e-13,5.15733201e-13,6.27042172e-14,4.0794239e-14,4.66994136e-15,4.77735064e-09,7.54595767e-10,9.09143015e-11,-1.70580182e-12,-4.24313468e-12,-7.51157644e-13,-3.01133883e-13,-4.38940115e-14,-1.88148628e-14,-3.1260260000000004e-15
0.011,-2.29573053e-08,-2.67055781e-09,6.65159598e-11,3.51663778e-11,1.48961562e-11,1.40187839e-12,7.7502036e-13,1.03393909e-13,6.18443755e-14,7.697188770000001e-15,8.36256529e-09,1.45729907e-09,2.19381344e-10,4.92790374e-12,-6.32762132e-12,-1.2727973e-12,-5.07745493e-13,-7.31273176e-14,-3.07223734e-14,-5.28055855e-15
0.012,-3.85534751e-08,-4.89798719e-09,3.37790967e-11,5.31084623e-11,2.36791407e-11,2.10553737e-12,1.1217569e-12,1.64006395e-13,9.04137236e-14,1.2125029e-14,1.39233371e-08,2.65599993e-09,4.69340047e-10,2.30195254e-11,-8.62364154e-12,-2.08570305e-12,-8.31052861e-13,-1.16462002e-13,-4.87419579e-14,-8.497705980000001e-15
0.013,-6.21103838e-08,-8.55949079e-09,-6.08755418e-11,7.67996176e-11,3.73104228e-11,2.99612914e-12,1.57169983e-12,2.52310264e-13,1.28212791e-13,1.84288844e-14,2.22216766e-08,4.60997902e-09,9.24074411e-10,6.3605909e-11,-1.03645483e-11,-3.3331761e-12,-1.32523408e-12,-1.78694483e-13,-7.54515239e-14,-1.31560099e-14
0.014,-9.65749745e-08,-1.4354093e-08,-2.65066809e-10,1.06551464e-10,5.85324242e-11,4.01189839e-12,2.13955801e-12,3.78709692e-13,1.77138551e-13,2.72144899e-14,3.42036622e-08,7.67429725e-09,1.70869735e-09,1.45120381e-10,-9.88523937e-12,-5.2294011e-12,-2.06473815e-12,-2.65617996e-13,-1.143014e-13,-1.97330859e-14
0.015,-1.45634455e-07,-2.32301058e-08,-6.50815642e-10,1.4176509e-10,9.16231872e-11,4.97031708e-12,2.83736097e-12,5.57048045e-13,2.39269001e-13,3.92526446e-14,5.10176855e-08,1.23223083e-08,3.00511224e-09,2.9699305e-10,-4.01224051e-12,-8.09695153e-12,-3.1502575e-12,-3.83999556e-13,-1.69837415e-13,-2.88237235e-14
0.016,-2.13825046e-07,-3.64462804e-08,-1.32357661e-09,1.80248626e-10,1.43148706e-10,5.47346683e-12,3.67219071e-12,8.05593155e-13,3.16859604e-13,5.55234498e-14,7.40298848e-08,1.91705026e-08,5.07048453e-09,5.64507919e-10,1.28371936e-11,-1.24239481e-11,-4.71608026e-12,-5.41429154e-13,-2.4796282e-13,-4.11589485e-14
0.017,-3.06645778e-07,-5.56420284e-08,-2.43369157e-09,2.17217099e-10,2.23003607e-10,4.76199409e-12,4.64302813e-12,1.14820763e-12,4.12344773e-13,7.72726279e-14,1.04835889e-07,2.90054284e-08,8.2596422e-09,1.01521215e-09,4.99472072e-11,-1.89498718e-11,-6.93908677e-12,-7.45981411e-13,-3.5624182e-13,-5.76251652e-14
0.018,-4.30676643e-07,-8.29172447e-08,-4.19071776e-09,2.4386344e-10,3.45817801e-10,1.49721458e-12,5.73635465e-12,1.61568835e-12,5.28348151e-13,1.06082321e-13,1.4526797e-07,4.2812347e-08,1.30518122e-08,1.74721177e-09,1.22111003e-10,-2.87922889e-11,-1.00497114e-11,-1.0056132e-12,-5.04245989e-13,-7.92827888e-14
0.019,-5.93700285e-07,-1.20922222e-07,-6.88113548e-09,2.45360349e-10,5.32818252e-10,-6.55471424e-12,6.92000247e-12,2.24722889e-12,6.67705429e-13,1.43959551e-13,1.97396692e-07,6.18051831e-08,2.00820788e-08,2.89972781e-09,2.52105966e-10,-4.36308657e-11,-1.43452678e-11,-1.32720173e-12,-7.03943806e-13,-1.07383044e-13
0.02,-8.04826407e-07,-1.72958104e-07,-1.08899959e-08,1.98118167e-10,8.14246282e-10,-2.29692218e-11,8.13455379e-12,3.09191786e-12,8.33502895e-13,1.93445378e-13,2.63526124e-07,8.74572344e-08,3.01779193e-08,4.66632669e-09,4.74019606e-10,-6.59701933e-11,-2.02061373e-11,-1.71510379e-12,-9.70130718e-13,-1.43381927e-13
0.021,-1.07461792e-06,-2.43088284e-07,-1.67271265e-08,6.60835027e-11,1.23244119e-09,-5.32805681e-11,9.28134759e-12,4.21012836e-12,1.02913362e-12,2.57748151e-13,3.46181704e-07,1.21532004e-07,4.44011305e-08,7.3112779e-09,8.37645041e-10,-9.95092806e-11,-2.8115456e-11,-2.16909125e-12,-1.32089529e-12,-1.88949921e-13
0.022,-1.41521784e-06,-3.36261071e-07,-2.50585695e-08,-2.04183414e-10,1.84570999e-09,-1.05818622e-10,1.02058549e-11,5.67457903e-12,1.25836996e-12,3.40904358e-13,4.48089836e-07,1.66113413e-07,6.4095408e-08,1.11895304e-08,1.41420422e-09,-1.49653298e-10,-3.8683115e-11,-2.68148657e-12,-1.7781126e-12,-2.45975423e-13
0.023,-1.84047586e-06,-4.58443912e-07,-3.67439872e-08,-6.89968416e-10,2.73311006e-09,-1.92823336e-10,1.06748194e-11,7.57074746e-12,1.52544798e-12,4.47970305e-13,5.72148351e-07,2.23634554e-07,9.09397755e-08,1.67708353e-08,2.30370066e-09,-2.24212448e-10,-5.26751065e-11,-3.23329008e-12,-2.36795328e-12,-3.16561267e-13
0.024,-2.36607334e-06,-6.16769368e-07,-5.28808266e-08,-1.50077698e-09,4.00027552e-09,-3.31905389e-10,1.03451413e-11,9.99619103e-12,1.83515079e-12,5.85247831e-13,7.21386963e-07,2.96904024e-07,1.27007986e-07,2.46685753e-08,3.64425137e-09,-3.34343917e-10,-7.10495501e-11,-3.7890547e-12,-3.12138994e-12,-4.03010219e-13
0.025,-3.00964558e-06,-8.19692934e-07,-7.485609e-08,-2.78906758e-09,5.78641884e-09,-5.47932622e-10,8.72199093e-12,1.30581734e-11,2.19287067e-12,7.60546594e-13,8.98916931e-07,3.89128799e-07,1.74833931e-07,3.56738922e-08,5.62379953e-09,-4.95805994e-10,-9.50010921e-11,-4.29022474e-12,-4.07467718e-12,-5.07801407e-13
0.026,-3.79089986e-06,-1.07716275e-06,-1.04406615e-07,-4.76386782e-09,8.27263505e-09,-8.75433638e-10,5.10308542e-12,1.68687975e-11,2.60461467e-12,9.83483989e-13,1.10786919e-06,5.03932471e-07,2.37482982e-07,5.07957265e-08,8.49466558e-09,-7.3060874e-10,-1.26015829e-10,-4.64661838e-12,-5.26977515e-12,-6.33550685e-13
0.027,-4.73172807e-06,-1.40080107e-06,-1.43688812e-07,-7.70788243e-09,1.16916264e-08,-1.36162226e-09,-1.49455684e-12,2.15366058e-11,3.07690386e-12,1.26582471e-12,1.35132028e-06,6.45367602e-07,3.18629099e-07,7.13074041e-08,1.25914543e-08,-1.06916347e-09,-1.6593946e-10,-4.72569177e-12,-6.75467652e-12,-7.82961282e-13
0.028,-5.85631208e-06,-1.80409735e-06,-1.95358863e-07,-1.19987967e-08,1.63389497e-08,-2.07015904e-09,-1.24297371e-11,2.71533167e-11,3.61649149e-12,1.62185573e-12,1.63220543e-06,8.17920831e-07,4.2263738e-07,9.88004144e-08,1.83528984e-08,-1.55305379e-09,-2.17062049e-10,-4.33919499e-12,-8.58359105e-12,-9.58755049e-13
0.029,-7.19122067e-06,-2.30261253e-06,-2.62664402e-07,-1.8135583e-08,2.25858639e-08,-3.08577861e-09,-2.95591496e-11,3.37740126e-11,4.22979881e-12,2.06879856e-12,1.95321844e-06,1.02650928e-06,5.54651618e-07,1.35246028e-07,2.63482867e-08,-2.23857449e-09,-2.82223595e-10,-3.22679269e-12,-1.08169278e-11,-1.16359648e-12
0.03,-8.76549596e-06,-2.91419406e-06,-3.49548751e-07,-2.67707303e-08,3.0893825e-08,-4.51992367e-09,-5.53922345e-11,4.13886736e-11,4.92193137e-12,2.62724497e-12,2.3166979e-06,1.27646674e-06,7.20686254e-07,1.83065394e-07,3.73091914e-08,-3.20121107e-09,-3.64945536e-10,-1.03622338e-12,-1.35210112e-11,-1.39999955e-12
0.031,-1.06107279e-05,-3.65920108e-06,-4.60768792e-07,-3.87494403e-08,4.18306314e-08,-6.51753795e-09,-9.32854542e-11,4.988245e-11,5.69509534e-12,3.32161919e-12,2.72449941e-06,1.57351797e-06,9.27721972e-07,2.45208738e-07,5.21672825e-08,-4.54126262e-09,-4.69594432e-10,2.70043174e-12,-1.67674535e-11,-1.67023415e-12
0.032,-1.27611151e-05,-4.56073891e-06,-6.02027554e-07,-5.51569614e-08,5.60881717e-08,-9.26518061e-09,-1.47683424e-10,5.89814913e-11,6.54618619e-12,4.18063572e-12,3.17785394e-06,1.9237395e-06,1.18380398e-06,3.25244251e-07,7.20990858e-08,-6.39084412e-09,-6.01585365e-10,8.59473056e-12,-2.06321e-11,-1.97622604e-12
0.033,-1.52535094e-05,-5.64490179e-06,-7.80122614e-07,-7.73753751e-08,7.45016582e-08,-1.3000633e-08,-2.24414677e-10,6.81805119e-11,7.4631934e-12,5.23775184e-12,3.67721209e-06,2.33350513e-06,1.49814184e-06,4.27457205e-07,9.8578617e-08,-8.92254139e-09,-7.67634342e-10,1.74344926e-11,-2.51934165e-11,-2.31947963e-12
0.034,-1.81274437e-05,-6.94102288e-06,-1.00311135e-06,-1.07151292e-07,9.80701517e-08,-1.80241759e-08,-3.31050913e-10,7.66475208e-11,8.42008423e-12,6.53155611e-12,4.22207474e-06,2.80941437e-06,1.88120956e-06,5.56959775e-07,1.33438891e-07,-1.23600334e-08,-9.76070444e-10,3.02213334e-11,-3.05302346e-11,-2.7010405e-12
0.035,-2.14251396e-05,-8.48192991e-06,-1.2804941e-06,-1.46676076e-07,1.27978091e-07,-2.47117168e-08,-4.77339003e-10,8.31002079e-11,9.36966881e-12,8.10610671e-12,4.8108102e-06,3.35820197e-06,2.3448443e-06,7.19811958e-07,1.78943372e-07,-1.69910412e-08,-1.23722044e-09,4.82132264e-11,-3.67187519e-11,-3.12151911e-12
0.036,-2.51914936e-05,-1.0304205e-05,-1.62341613e-06,-1.98680366e-07,1.65617428e-07,-3.35299493e-08,-6.75715309e-10,8.56475134e-11,1.02338629e-11,1.00111218e-11,5.44045866e-06,3.98662676e-06,2.90234207e-06,9.23153877e-07,2.37868506e-07,-2.31830112e-08,-1.56388072e-09,7.29719528e-11,-4.38286664e-11,-3.58122052e-12
0.037,-2.94740408e-05,-1.24484468e-05,-2.04488935e-06,-2.6654484e-07,2.12609844e-07,-4.50537181e-08,-9.41912027e-10,8.1588749e-11,1.08905841e-11,1.23020518e-11,6.10652466e-06,4.70133788e-06,3.56854832e-06,1.17534962e-06,3.13598504e-07,-3.14019931e-08,-1.97189393e-09,1.06415068e-10,-5.19183542e-11,-4.08040395e-12
