r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,1.6735554e-09,1.09191231e-11,-3.72867641e-10,-5.85946848e-12,-3.27354381e-11,-4.20400756e-13,-3.02264228e-12,3.5375409e-10,4.92580893e-11,-1.2196968e-10,-2.10318495e-11,7.48928104e-13,-1.00803902e-12,7.94446372e-13
0.002,2.15772074e-08,2.52069482e-10,-1.61816584e-09,-4.56787759e-11,-1.23143124e-10,-5.88566334e-12,-3.43703017e-12,4.73212036e-09,1.06766276e-09,-8.31046009e-10,-1.40026854e-10,2.77503033e-11,-3.96509943e-12,9.17450139e-12
0.003,1.04242235e-07,1.76105388e-09,-3.79466739e-09,-1.69797198e-10,-2.57844829e-10,-2.20452922e-11,8.01887474e-12,2.31442509e-08,7.32878343e-09,-2.72767098e-09,-4.3849094e-10,1.59210193e-10,1.63890271e-12,2.62741771e-11
0.004,3.23720521e-07,7.14976107e-09,-6.33311618e-09,-4.63416821e-10,-4.28790513e-10,-5.05208214e-11,2.88182949e-11,7.23774387e-08,2.96370793e-08,-6.29763632e-09,-9.93964482e-10,4.91348084e-10,2.56248746e-11,4.95693564e-11
0.005,7.83527553e-07,2.13726927e-08,-7.44268349e-09,-1.07501898e-09,-6.2821332e-10,-9.18548675e-11,5.42787929e-11,1.76032098e-07,8.85572075e-08,-1.19716578e-08,-1.88486166e-09,1.11278076e-09,7.0481948e-11,7.96710183e-11
0.006,1.61653673e-06,5.25007028e-08,-3.34081545e-09,-2.27242662e-09,-8.42813833e-10,-1.46867533e-10,8.16316692e-11,3.64557105e-07,2.17648519e-07,-2.02956811e-08,-3.18335808e-09,2.10134664e-09,1.33998661e-10,1.18013189e-10
0.007,2.98482051e-06,1.12482584e-07,1.27601495e-08,-4.54335006e-09,-1.0517593e-09,-2.15644892e-10,1.09663551e-10,6.7529004e-07,4.66694502e-07,-3.20893524e-08,-4.94156502e-09,3.52900878e-09,2.12320616e-10,1.6560389e-10
0.008,5.07944457e-06,2.17888648e-07,5.19174692e-08,-8.751556e-09,-1.22723828e-09,-2.9677311e-10,1.38066522e-10,1.15249856e-06,9.04917144e-07,-4.85793935e-08,-7.17446063e-09,5.46726126e-09,3.01618241e-10,2.22925074e-10
0.009,8.12021766e-06,3.90635378e-07,1.30967921e-07,-1.63568068e-08,-1.33613221e-09,-3.87301831e-10,1.67027518e-10,1.84742059e-06,1.62416833e-06,-7.15164672e-08,-9.84103785e-09,7.99045566e-09,3.9884726e-10,2.90038918e-10
0.01,1.23553976e-05,6.58691028e-07,2.74277087e-07,-2.97065552e-08,-1.3419324e-09,-4.8304563e-10,1.96963463e-10,2.81830193e-06,2.74209259e-06,-1.03282325e-07,-1.28238314e-08,1.11764253e-08,5.02013414e-10,3.66665706e-10
0.011,1.80613534e-05,1.05676168e-06,5.15723806e-07,-5.24079069e-08,-1.20660943e-09,-5.78876765e-10,2.28334754e-10,4.13043047e-06,4.40525657e-06,-1.46989453e-07,-1.59065156e-08,1.51044144e-08,6.10190935e-10,4.52215039e-10
0.012,2.55421824e-05,1.62695682e-06,9.00916988e-07,-8.97886957e-08,-8.92420306e-10,-6.68854043e-10,2.61506277e-10,5.85616612e-06,6.79224102e-06,-2.06572457e-07,-1.87493482e-08,1.98504054e-08,7.23469988e-10,5.45785851e-10
0.013,3.51292838e-05,2.41943329e-06,1.48964266e-06,-1.49456521e-07,-3.63704808e-10,-7.46150848e-10,2.96637348e-10,8.07496569e-06,1.01166911e-05,-2.86868978e-07,-2.08625192e-08,2.54798342e-08,8.42948327e-10,6.46151804e-10
0.014,4.71808869e-05,3.49301627e-06,2.3585393e-06,-2.41964391e-07,4.11288893e-10,-8.02789831e-10,3.33588921e-10,1.08734022e-05,1.46303206e-05,-3.93687414e-07,-2.15777226e-08,3.20375267e-08,9.70827153e-10,7.51744428e-10
0.015,6.20815347e-05,4.91579605e-06,3.60399937e-06,-3.81591297e-07,1.45854846e-09,-8.29191536e-10,3.71837913e-10,1.43451778e-05,2.06258666e-05,-5.33858623e-07,-2.00184633e-08,3.95345621e-08,1.11063337e-09,8.60641819e-10
0.016,8.0241523e-05,6.76569919e-06,5.3452949e-06,-5.87245709e-07,2.79644136e-09,-8.1353016e-10,4.10393853e-10,1.85911294e-05,2.8439989e-05,-7.15268921e-07,-1.50697411e-08,4.79316638e-08,1.26756944e-09,9.70570518e-10
0.017,0.000102096296,9.13103279e-06,7.72792459e-06,-8.83499629e-07,4.43391771e-09,-7.40872765e-10,4.47710948e-10,2.37192272e-05,3.84561124e-05,-9.46871845e-07,-5.34784117e-09,5.71186566e-08,1.44898631e-09,1.07892248e-09
