r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,-6.42156338e-11,-1.90287303e-13,8.62733601e-12,5.03378852e-14,6.95003594e-13,5.01057955e-15,6.85415658e-14,-1.76260307e-11,-1.04016913e-12,2.76326398e-12,3.00542765e-13,2.02179026e-13,1.51655043e-14,1.65870253e-14
0.002,-8.21089375e-10,-4.10291293e-12,3.20992577e-11,1.60763086e-13,2.47730819e-12,1.66962749e-14,2.47013376e-13,-2.2940579e-10,-2.18889547e-11,1.28892659e-11,1.95157496e-12,1.07984664e-12,1.30223468e-13,9.73149258e-14
0.003,-3.95882106e-09,-2.79063755e-11,6.52245314e-11,-1.31977277e-13,4.79893181e-12,-1.64075523e-14,5.0054754e-13,-1.11556326e-09,-1.49500951e-10,3.35322675e-11,5.68794332e-12,3.12183905e-12,4.18995495e-13,2.83111981e-13
0.004,-1.22860763e-08,-1.12051947e-10,9.9814225e-11,-1.53967253e-12,7.18162872e-12,-1.63348321e-13,7.96662218e-13,-3.4800127e-09,-6.03830801e-10,6.72691625e-11,1.14348392e-11,6.8139726e-12,9.20041622e-13,6.00684468e-13
0.005,-2.97294299e-08,-3.33290014e-10,1.20159896e-10,-4.61912697e-12,9.33958943e-12,-4.79969353e-13,1.10635431e-12,-8.45119773e-09,-1.80345543e-09,1.16291889e-10,1.85573326e-11,1.2608405e-11,1.63242627e-12,1.07071771e-12
0.006,-6.13289322e-08,-8.16724681e-10,9.6040901e-11,-9.67228366e-12,1.119215e-11,-9.98352331e-13,1.40970118e-12,-1.74830797e-08,-4.43133771e-09,1.83134193e-10,2.62584469e-11,2.09447264e-11,2.52539285e-12,1.70996607e-12
0.007,-1.13231812e-07,-1.74760959e-09,-2.59974531e-11,-1.69159133e-11,1.2820049e-11,-1.72311381e-12,1.69671426e-12,-3.23561621e-08,-9.50050067e-09,2.71285778e-10,3.38567101e-11,3.22844551e-11,3.55532687e-12,2.5304557e-12
0.008,-1.92684458e-07,-3.38279639e-09,-3.33009847e-10,-2.67661869e-11,1.4411772e-11,-2.63323572e-12,1.96535013e-12,-5.51784097e-08,-1.84193557e-08,3.85598672e-10,4.08900609e-11,4.71356807e-11,4.68038149e-12,3.53938399e-12
0.009,-3.08022721e-07,-6.06183676e-09,-9.57721686e-10,-4.01459088e-11,1.62192397e-11,-3.68756506e-12,2.21873216e-12,-8.8385986e-08,-3.30565092e-08,5.32516268e-10,4.71060682e-11,6.60609452e-11,5.86901189e-12,4.73937358e-12
0.01,-4.68660542e-07,-1.02177481e-08,-2.09235744e-09,-5.87979749e-11,1.85260706e-11,-4.83069953e-12,2.4624706e-12,-1.34743765e-07,-5.58049272e-08,7.20151724e-10,5.24080735e-11,8.96684591e-11,7.10308268e-12,6.12858741e-12
0.011,-6.85076895e-07,-1.63874405e-08,-4.00425002e-09,-8.56266298e-11,2.16257993e-11,-5.99696461e-12,2.70237394e-12,-1.97345587e-07,-8.96453641e-08,9.58220127e-10,5.67992683e-11,1.18587672e-10,8.3779088e-12,7.70057916e-12
0.012,-9.68801035e-07,-2.52217927e-08,-7.0532326e-09,-1.2509614e-10,2.58065278e-11,-7.111692e-12,2.94256674e-12,-2.79614222e-07,-1.38208963e-07,1.25781357e-09,6.03402815e-11,1.53429196e-10,9.70151651e-12,9.4439367e-12
0.013,-1.33239603e-06,-3.74953572e-08,-1.17108014e-08,-1.8371181e-10,3.13393204e-11,-8.08989374e-12,3.18391464e-12,-3.85301028e-07,-2.0583894e-07,1.63100102e-09,6.31208518e-11,1.94727845e-10,1.10946377e-11,1.13418369e-11
0.014,-1.7894406e-06,-5.41156757e-08,-1.858103e-08,-2.70601503e-10,3.8468761e-11,-8.83264852e-12,3.42263416e-12,-5.18485263e-07,-2.97651259e-07,2.09023276e-09,6.52405408e-11,2.42866564e-10,1.25921773e-11,1.33716273e-11
0.015,-2.35450923e-06,-7.61321824e-08,-2.84232109e-08,-3.98210986e-10,4.74050173e-11,-9.22136088e-12,3.64896916e-12,-6.83573036e-07,-4.19594207e-07,2.6475292e-09,6.6792775e-11,2.97978316e-10,1.42463888e-11,1.55045352e-11
0.016,-3.04315062e-06,-1.04744677e-07,-4.21761976e-08,-5.83123956e-10,5.83173886e-11,-9.10979697e-12,3.8458521e-12,-8.85295878e-07,-5.78506781e-07,3.31343568e-09,6.7847612e-11,3.59822506e-10,1.61317528e-11,1.77055839e-11
0.017,-3.87186441e-06,-1.41311341e-07,-6.09844156e-08,-8.47016751e-10,7.13297558e-11,-8.31356697e-12,3.98746969e-12,-1.1287089e-06,-7.821758e-07,4.09572638e-09,6.84299269e-11,4.27632193e-10,1.83515e-11,1.99337811e-11
